Time,BioZ
0,3858.38747
0.015625,2803.826332
0.03125,2547.299862
0.046875,2699.422836
0.0625,2729.201317
0.078125,2698.171139
0.09375,2691.602707
0.109375,2692.115307
0.125,2693.045139
0.140625,2693.855762
0.15625,2694.571018
0.171875,2695.131302
0.1875,2695.453167
0.203125,2695.512772
0.21875,2695.810795
0.234375,2696.64526
0.25,2697.28899
0.265625,2697.443962
0.28125,2697.956562
0.296875,2698.588371
0.3125,2699.017525
0.328125,2699.553967
0.34375,2700.233459
0.359375,2700.424194
0.375,2700.483799
0.390625,2700.853348
0.40625,2701.044083
0.421875,2701.234818
0.4375,2702.021599
0.453125,2702.915668
0.46875,2703.678608
0.484375,2704.429626
0.5,2705.037594
0.515625,2705.276012
0.53125,2705.204487
0.546875,2705.538273
0.5625,2706.253529
0.578125,2706.825733
0.59375,2707.386017
0.609375,2707.839012
0.625,2708.077431
0.640625,2708.506584
0.65625,2709.054947
0.671875,2709.174156
0.6875,2709.174156
0.703125,2709.841728
0.71875,2710.485458
0.734375,2710.592747
0.75,2710.855007
0.765625,2711.582184
0.78125,2712.595463
0.796875,2713.263035
0.8125,2713.45377
0.828125,2713.84716
0.84375,2714.335918
0.859375,2714.824677
0.875,2715.301514
0.890625,2715.778351
0.90625,2716.243267
0.921875,2716.457844
0.9375,2716.54129
0.953125,2716.958523
0.96875,2717.399597
0.984375,2717.483044
1,2717.483044
1.015625,2717.995644
1.03125,2718.555927
1.046875,2718.818188
1.0625,2719.461918
1.078125,2720.189095
1.09375,2720.51096
1.109375,2720.892429
1.125,2721.130848
1.140625,2721.428871
1.15625,2722.036839
1.171875,2722.465992
1.1875,2722.632885
1.203125,2722.907066
1.21875,2723.538876
1.234375,2724.123001
1.25,2724.516392
1.265625,2724.742889
1.28125,2724.945545
1.296875,2725.446224
1.3125,2725.672722
1.328125,2725.601196
1.34375,2726.03035
1.359375,2726.840973
1.375,2727.520466
1.390625,2728.044987
1.40625,2728.509903
1.421875,2728.843689
1.4375,2728.796005
1.453125,2728.98674
1.46875,2729.7616
1.484375,2730.154991
1.5,2730.178833
1.515625,2730.441093
1.53125,2731.03714
1.546875,2731.645107
1.5625,2731.94313
1.578125,2732.348442
1.59375,2732.717991
1.609375,2732.956409
1.625,2733.302116
1.640625,2733.719349
1.65625,2734.184265
1.671875,2734.732628
1.6875,2735.328674
1.703125,2735.78167
1.71875,2736.020088
1.734375,2736.270428
1.75,2736.628056
1.765625,2736.926079
1.78125,2737.021446
1.796875,2736.878395
1.8125,2736.949921
1.828125,2737.522125
1.84375,2738.285065
1.859375,2739.024162
1.875,2739.500999
1.890625,2739.667892
1.90625,2739.715576
1.921875,2740.013599
1.9375,2740.740776
