Time,BioZ
0,5831.778049
0.015625,3307.723999
0.03125,1261.770725
0.046875,1081.228256
0.0625,1407.170296
0.078125,1400.279999
0.09375,1340.055466
0.109375,1332.402229
0.125,1332.306862
0.140625,1332.104206
0.15625,1331.984997
0.171875,1331.961155
0.1875,1331.973076
0.203125,1331.806183
0.21875,1331.77042
0.234375,1331.925392
0.25,1331.663132
0.265625,1331.424713
0.28125,1331.591606
0.296875,1331.889629
0.3125,1331.841946
0.328125,1331.663132
0.34375,1331.555843
0.359375,1331.424713
0.375,1331.412792
0.390625,1331.281662
0.40625,1330.99556
0.421875,1330.947876
0.4375,1331.293583
0.453125,1331.555843
0.46875,1331.460476
0.484375,1331.579685
0.5,1331.949234
0.515625,1331.818104
0.53125,1331.269741
0.546875,1331.114769
0.5625,1331.138611
0.578125,1331.019402
0.59375,1330.816746
0.609375,1330.733299
0.625,1330.757141
0.640625,1330.530643
0.65625,1330.292225
0.671875,1330.077648
0.6875,1329.755783
0.703125,1329.648495
0.71875,1329.612732
0.734375,1329.338551
0.75,1328.980923
0.765625,1328.897476
0.78125,1328.933239
0.796875,1329.112053
0.8125,1328.885555
0.828125,1328.539848
0.84375,1328.480244
0.859375,1328.277588
0.875,1327.943802
0.890625,1327.550411
0.90625,1327.168941
0.921875,1326.918602
0.9375,1326.656342
0.953125,1326.584816
0.96875,1326.799393
0.984375,1326.882839
1,1326.560974
1.015625,1326.179504
1.03125,1326.131821
1.046875,1326.048374
1.0625,1325.750351
1.078125,1325.654984
1.09375,1325.666904
1.109375,1325.416565
1.125,1325.142384
1.140625,1325.237751
1.15625,1325.321198
1.171875,1325.249672
1.1875,1325.166225
1.203125,1324.987411
1.21875,1325.130463
1.234375,1325.428486
1.25,1324.856281
1.265625,1324.248314
1.28125,1324.677467
1.296875,1325.023174
1.3125,1324.617863
1.328125,1324.33176
1.34375,1324.45097
1.359375,1324.558258
1.375,1324.546337
1.390625,1324.367523
1.40625,1324.033737
1.421875,1323.997974
1.4375,1324.236393
1.453125,1324.260235
1.46875,1324.009895
1.484375,1323.485374
1.5,1322.579384
1.515625,1321.88797
1.53125,1321.971416
1.546875,1322.40057
1.5625,1322.5317
1.578125,1322.114468
1.59375,1321.363449
1.609375,1320.409775
1.625,1319.801807
1.640625,1320.147514
1.65625,1320.60051
1.671875,1320.075989
1.6875,1319.360733
1.703125,1319.086552
1.71875,1318.836212
1.734375,1318.41898
1.75,1318.240166
1.765625,1318.240166
1.78125,1318.228245
1.796875,1318.097115
1.8125,1317.858696
1.828125,1317.489147
1.84375,1317.226887
1.859375,1317.381859
1.875,1317.822933
1.890625,1317.954063
1.90625,1317.727566
1.921875,1317.632198
1.9375,1317.775249
1.953125,1317.763329
1.96875,1317.536831
1.984375,1317.214966
2,1317.059994
2.015625,1317.214966
2.03125,1317.322254
2.046875,1317.310333
2.0625,1317.250729
2.078125,1317.238808
2.09375,1317.119598
2.109375,1317.071915
2.125,1317.226887
2.140625,1317.369938
2.15625,1317.477226
2.171875,1317.703724
2.1875,1317.822933
2.203125,1317.560673
2.21875,1316.726208
2.234375,1315.891743
2.25,1315.689087
2.265625,1316.022873
2.28125,1316.213608
2.296875,1315.867901
2.3125,1315.307617
2.328125,1315.47451
2.34375,1315.701008
2.359375,1315.104961
2.375,1314.592361
2.390625,1314.842701
2.40625,1314.96191
2.421875,1314.222813
2.4375,1313.54332
2.453125,1313.745975
2.46875,1314.127445
2.484375,1313.900948
2.5,1313.471794
2.515625,1312.994957
2.53125,1312.291622
2.546875,1311.731339
2.5625,1311.635971
2.578125,1311.862469
2.59375,1311.862469
2.609375,1311.409473
2.625,1310.658455
2.640625,1310.002804
2.65625,1309.561729
2.671875,1309.037209
2.6875,1308.369637
2.703125,1307.749748
2.71875,1306.784153
2.734375,1305.127144
2.75,1303.315163
2.765625,1301.801205
2.78125,1300.263405
2.796875,1298.546791
2.8125,1297.461987
2.828125,1297.223568
2.84375,1297.414303
2.859375,1297.736168
2.875,1298.117638
2.890625,1298.475266
2.90625,1298.78521
2.921875,1299.667358
2.9375,1301.503181
2.953125,1303.958893
2.96875,1306.045055
2.984375,1307.415962
3,1308.643818
3.015625,1310.276985
3.03125,1311.933994
3.046875,1313.006878
3.0625,1313.400269
3.078125,1313.400269
3.09375,1313.340664
3.109375,1313.221455
3.125,1313.102245
3.140625,1313.29298
3.15625,1313.483715
3.171875,1313.316822
3.1875,1312.458515
3.203125,1310.908794
3.21875,1309.537888
3.234375,1309.025288
3.25,1309.275627
3.265625,1309.716702
3.28125,1309.585571
3.296875,1309.025288
3.3125,1308.476925
3.328125,1307.976246
3.34375,1306.986809
3.359375,1305.401325
3.375,1303.744316
3.390625,1302.337646
3.40625,1301.264763
3.421875,1300.191879
3.4375,1298.809052
3.453125,1297.032833
3.46875,1294.994354
3.484375,1293.051243
3.5,1291.167736
3.515625,1289.284229
3.53125,1287.853718
3.546875,1286.876202
3.5625,1285.898685
3.578125,1285.099983
3.59375,1284.217834
3.609375,1283.061504
3.625,1281.571388
3.640625,1279.616356
3.65625,1277.434826
3.671875,1275.444031
3.6875,1273.51284
3.703125,1271.653175
3.71875,1269.996166
3.734375,1268.970966
3.75,1268.267632
3.765625,1267.647743
3.78125,1267.337799
3.796875,1266.813278
3.8125,1266.145706
3.828125,1265.799999
3.84375,1265.311241
3.859375,1264.679432
3.875,1264.166832
3.890625,1263.773441
3.90625,1263.225079
3.921875,1262.366772
3.9375,1261.496544
3.953125,1260.614395
3.96875,1259.672642
3.984375,1258.111
4,1255.965233
4.015625,1253.950596
4.03125,1252.448559
4.046875,1251.149178
4.0625,1249.790192
4.078125,1248.025894
4.09375,1245.91589
4.109375,1243.86549
4.125,1241.970062
4.140625,1240.253448
4.15625,1238.417625
4.171875,1236.331463
4.1875,1234.292984
4.203125,1232.516766
4.21875,1230.895519
4.234375,1229.023933
4.25,1226.806641
4.265625,1224.708557
4.28125,1222.980022
4.296875,1221.287251
4.3125,1219.35606
4.328125,1217.234135
4.34375,1214.516163
4.359375,1210.701466
4.375,1206.922531
4.390625,1204.288006
4.40625,1202.142239
4.421875,1199.531555
4.4375,1196.169853
4.453125,1192.677021
4.46875,1190.900803
4.484375,1191.627979
4.5,1191.37764
4.515625,1185.464859
4.53125,1174.533367
4.546875,1164.317131
4.5625,1157.534122
4.578125,1152.1101
4.59375,1150.381565
4.609375,1154.601574
4.625,1156.675816
4.640625,1149.487495
4.65625,1140.916348
4.671875,1147.580147
4.6875,1169.04974
4.703125,1188.850403
4.71875,1224.267483
4.734375,1297.068596
4.75,1359.033585
4.765625,1372.289658
4.78125,1376.140118
4.796875,1398.956776
4.8125,1434.123516
4.828125,1482.772827
4.84375,1533.091068
4.859375,1566.445827
4.875,1576.602459
4.890625,1548.135281
4.90625,1488.602161
4.921875,1439.678669
4.9375,1435.709
4.953125,1481.389999
4.96875,1312.088966
4.984375,961.9235992
5,1856.064796
5.015625,4569.542408
5.03125,6249.988079
5.046875,6077.182293
5.0625,3690.445423
5.078125,2112.948895
5.09375,2109.241486
5.109375,2444.87524
5.125,2485.382557
5.140625,2465.581894
5.15625,2477.610111
5.171875,2495.849133
5.1875,2514.135838
5.203125,2531.051636
5.21875,2550.005913
