Time,BioZ
0,6181.454659
0.015625,6249.988079
0.03125,6247.055531
0.046875,6231.057644
0.0625,6245.243549
0.078125,6248.784065
0.09375,6248.84367
0.109375,6248.84367
0.125,6248.84367
0.140625,6248.84367
0.15625,6248.84367
0.171875,6248.84367
0.1875,6248.84367
0.203125,6248.84367
0.21875,6248.84367
0.234375,6248.84367
0.25,6248.84367
0.265625,6248.819828
0.28125,6248.760223
0.296875,6248.760223
0.3125,6248.962879
0.328125,6248.736382
0.34375,6246.757507
0.359375,6243.240833
0.375,6239.306927
0.390625,6235.551834
0.40625,6231.915951
0.421875,6227.564812
0.4375,6222.331524
0.453125,6217.52739
0.46875,6213.414669
0.484375,6208.860874
0.5,6203.842163
0.515625,6199.109554
0.53125,6194.341183
0.546875,6189.155579
0.5625,6184.113026
0.578125,6179.368496
0.59375,6174.790859
0.609375,6169.986725
0.625,6164.205074
0.640625,6157.970428
0.65625,6152.009964
0.671875,6146.395206
0.6875,6141.030788
0.703125,6135.439873
0.71875,6129.288673
0.734375,6123.304367
0.75,6117.975712
0.765625,6112.444401
0.78125,6105.911732
0.796875,6098.973751
0.8125,6093.347073
0.828125,6088.638306
0.84375,6082.892418
0.859375,6076.323986
0.875,6069.743633
0.890625,6061.959267
0.90625,6053.566933
0.921875,6047.844887
0.9375,6043.231487
0.953125,6035.494804
0.96875,6025.755405
0.984375,6018.233299
1,6012.511253
1.015625,6005.430222
1.03125,5996.477604
1.046875,5988.121033
1.0625,5981.683731
1.078125,5975.580215
1.09375,5968.844891
1.109375,5962.324142
1.125,5955.922604
1.140625,5949.044228
1.15625,5942.034721
1.171875,5935.21595
1.1875,5928.444862
1.203125,5921.900272
1.21875,5915.629864
1.234375,5909.502506
1.25,5903.148651
1.265625,5896.72327
1.28125,5890.583992
1.296875,5884.218216
1.3125,5877.923965
1.328125,5872.428417
1.34375,5866.682529
1.359375,5860.757828
1.375,5856.001377
1.390625,5850.64888
1.40625,5843.043327
1.421875,5835.75964
1.4375,5830.180645
1.453125,5824.697018
1.46875,5819.654465
1.484375,5815.982819
1.5,5812.215805
1.515625,5806.910992
1.53125,5800.47369
1.546875,5794.560909
1.5625,5789.411068
1.578125,5783.259869
1.59375,5776.560307
1.609375,5771.636963
1.625,5767.977238
1.640625,5764.03141
1.65625,5759.012699
1.671875,5752.897263
1.6875,5746.650696
1.703125,5741.262436
1.71875,5736.804008
1.734375,5732.190609
1.75,5726.671219
1.765625,5722.272396
1.78125,5719.125271
1.796875,5714.10656
1.8125,5707.705021
1.828125,5703.496933
1.84375,5700.814724
1.859375,5696.225166
1.875,5689.752102
1.890625,5684.328079
1.90625,5681.037903
1.921875,5677.962303
1.9375,5672.597885
1.953125,5666.196346
1.96875,5661.797523
1.984375,5658.793449
2,5654.44231
2.015625,5649.244785
2.03125,5645.000935
2.046875,5640.912056
2.0625,5636.08408
2.078125,5632.11441
2.09375,5628.561974
2.109375,5623.555183
2.125,5618.476868
2.140625,5615.04364
2.15625,5611.467361
2.171875,5606.222153
2.1875,5601.799488
2.203125,5599.439144
2.21875,5596.458912
2.234375,5591.762066
2.25,5587.780476
2.265625,5585.408211
2.28125,5582.380295
2.296875,5578.041077
2.3125,5573.809147
2.328125,5569.61298
