Time,BioZ
0,1153.969765
0.015625,1269.507408
0.03125,1466.310024
0.046875,1408.183575
0.0625,1365.697384
0.078125,1358.997822
0.09375,1354.837418
0.109375,1350.402832
0.125,1346.945763
0.140625,1344.835758
0.15625,1342.54694
0.171875,1340.270042
0.1875,1339.483261
0.203125,1339.757442
0.21875,1339.709759
0.234375,1340.031624
0.25,1341.474056
0.265625,1343.119144
0.28125,1344.561577
0.296875,1346.123219
0.3125,1347.613335
0.328125,1348.996162
0.34375,1350.951195
0.359375,1353.573799
0.375,1355.886459
0.390625,1357.805729
0.40625,1359.832287
0.421875,1362.085342
0.4375,1364.326477
0.453125,1366.496086
0.46875,1368.284225
0.484375,1369.726658
0.5,1371.061802
0.515625,1371.717453
0.53125,1372.039318
0.546875,1373.112202
0.5625,1374.924183
0.578125,1376.414299
0.59375,1377.642155
0.609375,1379.442215
0.625,1381.373405
0.640625,1382.827759
0.65625,1384.556293
0.671875,1386.725903
0.6875,1388.657093
0.703125,1390.528679
0.71875,1392.793655
0.734375,1394.867897
0.75,1395.92886
0.765625,1396.977901
0.78125,1398.742199
0.796875,1399.886608
0.8125,1400.005817
0.828125,1400.256157
0.84375,1400.947571
0.859375,1401.567459
0.875,1402.199268
0.890625,1402.616501
0.90625,1402.699947
0.921875,1403.045654
0.9375,1403.832436
0.953125,1404.40464
0.96875,1404.40464
0.984375,1404.237747
1,1404.321194
1.015625,1404.440403
1.03125,1404.321194
1.046875,1404.261589
1.0625,1404.53577
1.078125,1405.42984
1.09375,1406.633854
1.109375,1407.539845
1.125,1408.38623
1.140625,1409.232616
1.15625,1409.459114
1.171875,1409.363747
1.1875,1409.840584
1.203125,1410.651207
1.21875,1410.782337
1.234375,1410.746574
1.25,1411.521435
1.265625,1412.463188
1.28125,1412.74929
1.296875,1413.3811
1.3125,1414.692402
1.328125,1415.503025
1.34375,1415.777206
1.359375,1416.46862
1.375,1417.195797
1.390625,1416.778564
1.40625,1415.383816
1.421875,1414.179802
1.4375,1413.404942
1.453125,1413.285732
1.46875,1414.191723
1.484375,1415.18116
1.5,1415.014267
1.515625,1414.299011
1.53125,1413.488388
1.546875,1412.081718
1.5625,1410.067081
