Time,BioZ
0,4510.951042
0.015625,4212.665558
0.03125,4241.430759
0.046875,4297.077656
0.0625,4291.772842
0.078125,4287.743568
0.09375,4291.570187
0.109375,4295.098782
0.125,4297.733307
0.140625,4299.867153
0.15625,4301.416874
0.171875,4302.537441
0.1875,4303.848743
0.203125,4305.303097
0.21875,4306.340218
0.234375,4306.817055
0.25,4306.483269
0.265625,4305.875301
0.28125,4305.744171
0.296875,4306.304455
0.3125,4307.186604
0.328125,4307.901859
0.34375,4308.509827
0.359375,4309.034348
0.375,4309.308529
0.390625,4309.45158
0.40625,4309.797287
0.421875,4310.464859
0.4375,4311.466217
0.453125,4312.598705
0.46875,4313.862324
0.484375,4314.482212
0.5,4313.850403
0.515625,4312.705994
0.53125,4312.264919
0.546875,4312.372208
0.5625,4312.610626
0.578125,4312.944412
0.59375,4313.480854
0.609375,4313.802719
0.625,4313.838482
0.640625,4313.94577
0.65625,4314.553738
0.671875,4314.899445
0.6875,4314.398766
0.703125,4313.886166
0.71875,4313.743114
0.734375,4313.528538
0.75,4313.218594
0.765625,4313.051701
0.78125,4313.015938
0.796875,4313.027859
0.8125,4313.063622
0.828125,4313.445091
0.84375,4313.993454
0.859375,4313.933849
0.875,4313.349724
0.890625,4313.254356
0.90625,4313.993454
0.921875,4314.720631
0.9375,4314.756393
0.953125,4314.780235
0.96875,4315.519333
0.984375,4316.592216
1,4317.092896
1.015625,4317.462444
1.03125,4318.022728
1.046875,4318.1777
1.0625,4317.939281
1.078125,4317.700863
1.09375,4317.879677
1.109375,4318.451881
1.125,4319.119453
1.140625,4319.667816
1.15625,4320.037365
1.171875,4320.275784
1.1875,4320.108891
1.203125,4319.453239
1.21875,4318.928719
1.234375,4318.761826
1.25,4318.201542
1.265625,4317.247868
1.28125,4316.592216
1.296875,4316.329956
1.3125,4315.99617
1.328125,4315.590858
1.34375,4315.388203
1.359375,4315.412045
1.375,4315.35244
1.390625,4315.114021
1.40625,4314.780235
1.421875,4313.910007
1.4375,4312.825203
1.453125,4312.515259
1.46875,4312.586784
1.484375,4312.694073
1.5,4313.147068
1.515625,4313.695431
1.53125,4314.136505
1.546875,4314.482212
1.5625,4314.625263
1.578125,4314.83984
1.59375,4315.340519
1.609375,4315.364361
1.625,4314.506054
1.640625,4314.053059
1.65625,4314.565659
1.671875,4315.185547
1.6875,4315.578938
1.703125,4316.008091
1.71875,4316.365719
1.734375,4316.675663
1.75,4317.045212
1.765625,4317.188263
1.78125,4317.212105
1.796875,4317.259789
1.8125,4317.176342
1.828125,4317.033291
1.84375,4317.092896
1.859375,4317.164421
1.875,4317.343235
1.890625,4317.748547
1.90625,4318.261147
1.921875,4318.892956
1.9375,4319.727421
1.953125,4320.847988
1.96875,4321.837425
1.984375,4322.361946
2,4322.552681
2.015625,4322.934151
2.03125,4323.339462
2.046875,4323.351383
2.0625,4322.92223
2.078125,4323.339462
2.09375,4325.199127
2.109375,4326.963425
2.125,4327.845573
2.140625,4328.882694
2.15625,4330.074787
2.171875,4330.837727
2.1875,4331.696033
2.203125,4333.138466
2.21875,4334.127903
2.234375,4334.282875
2.25,4334.723949
2.265625,4335.749149
2.28125,4336.512089
2.296875,4336.953163
2.3125,4337.859154
2.328125,4339.325428
2.34375,4341.042042
2.359375,4342.257977
2.375,4342.675209
2.390625,4343.342781
2.40625,4344.499111
2.421875,4345.154762
2.4375,4345.309734
2.453125,4345.870018
2.46875,4347.002506
2.484375,4347.801208
2.5,4347.920418
2.515625,4347.980022
2.53125,4348.576069
2.546875,4349.243641
2.5625,4349.23172
2.578125,4348.480701
2.59375,4347.884655
2.609375,4348.230362
2.625,4349.422455
2.640625,4350.626469
2.65625,4351.723194
2.671875,4352.653027
2.6875,4353.022575
2.703125,4353.439808
2.71875,4353.940487
2.734375,4354.155064
2.75,4354.941845
2.765625,4356.491566
2.78125,4358.005524
2.796875,4359.507561
2.8125,4360.473156
2.828125,4360.485077
2.84375,4359.7579
2.859375,4358.518124
2.875,4357.385635
2.890625,4356.968403
2.90625,4356.93264
2.921875,4357.051849
2.9375,4357.588291
2.953125,4358.160496
2.96875,4357.755184
2.984375,4356.193542
3,4354.393482
3.015625,4352.235794
3.03125,4349.339008
3.046875,4347.109795
3.0625,4346.489906
3.078125,4347.109795
3.09375,4347.968102
3.109375,4348.599911
3.125,4349.291325
3.140625,4350.12579
3.15625,4350.948334
3.171875,4351.377487
3.1875,4351.377487
3.203125,4351.532459
3.21875,4352.402687
3.234375,4354.143143
3.25,4356.467724
3.265625,4358.720779
3.28125,4360.461235
3.296875,4361.343384
3.3125,4361.343384
3.328125,4360.735416
3.34375,4360.318184
3.359375,4360.7831
3.375,4361.951351
3.390625,4362.905025
3.40625,4362.916946
3.421875,4362.106323
3.4375,4360.795021
3.453125,4358.971119
3.46875,4356.956482
3.484375,4354.88224
3.5,4352.867603
3.515625,4352.05698
3.53125,4353.141785
3.546875,4354.476929
3.5625,4354.608059
3.578125,4354.250431
3.59375,4353.952408
3.609375,4353.284836
3.625,4352.450371
3.640625,4351.770878
3.65625,4351.127148
3.671875,4350.793362
3.6875,4350.686073
3.703125,4351.365566
3.71875,4353.201389
3.734375,4355.418682
3.75,4357.135296
3.765625,4358.518124
3.78125,4359.543324
3.796875,4360.187054
3.8125,4360.40163
3.828125,4360.222816
3.84375,4359.865189
3.859375,4359.507561
3.875,4359.102249
3.890625,4358.708858
3.90625,4358.279705
3.921875,4357.504845
3.9375,4357.099533
3.953125,4357.802868
3.96875,4358.875751
3.984375,4359.018803
4,4357.755184
4.015625,4355.740547
4.03125,4353.964329
4.046875,4352.653027
4.0625,4350.996017
4.078125,4348.504543
4.09375,4345.76273
4.109375,4344.153404
4.125,4344.308376
4.140625,4344.916344
4.15625,4344.940186
4.171875,4344.975948
4.1875,4344.904423
4.203125,4343.962669
4.21875,4342.663288
4.234375,4342.210293
4.25,4343.342781
4.265625,4345.881939
4.28125,4348.349571
4.296875,4349.446297
4.3125,4350.066185
4.328125,4351.091385
4.34375,4351.782799
4.359375,4351.878166
4.375,4352.211952
4.390625,4352.855682
4.40625,4353.451729
4.421875,4354.357719
4.4375,4355.52597
4.453125,4356.408119
4.46875,4357.06377
4.484375,4357.790947
4.5,4358.494282
4.515625,4359.018803
4.53125,4359.543324
4.546875,4360.055923
4.5625,4360.437393
4.578125,4360.187054
4.59375,4359.054565
4.609375,4358.279705
4.625,4358.136654
4.640625,4357.31411
4.65625,4356.503487
4.671875,4357.06377
4.6875,4358.172417
4.703125,4358.363152
4.71875,4357.719421
4.734375,4357.075691
4.75,4356.598854
4.765625,4355.669022
4.78125,4354.381561
4.796875,4354.047775
4.8125,4354.953766
4.828125,4355.812073
4.84375,4355.585575
4.859375,4354.834557
4.875,4354.560375
4.890625,4354.918003
4.90625,4356.825352
4.921875,4368.340969
4.9375,4367.756844
4.953125,4303.193092
4.96875,4343.771935
4.984375,4748.427868
5,5214.953423
5.015625,5265.367031
5.03125,5068.826675
5.046875,4979.872704
5.0625,4988.145828
5.078125,4988.360405
5.09375,4975.759983
5.109375,4965.901375
5.125,4958.617687
5.140625,4952.37112
5.15625,4946.684837
5.171875,4941.296577
5.1875,4936.83815
5.203125,4933.726788
5.21875,4931.247234
5.234375,4928.696156
5.25,4926.466942
5.265625,4924.619198
5.28125,4922.890663
5.296875,4921.424389
5.3125,4920.184612
5.328125,4918.909073
5.34375,4918.110371
5.359375,4917.931557
5.375,4917.383194
5.390625,4916.274548
5.40625,4915.499687
