Time,BioZ
0,5258.536339
0.015625,5258.893967
0.03125,5259.215832
0.046875,5259.06086
0.0625,5258.762836
0.078125,5258.512497
0.09375,5258.655548
0.109375,5259.144306
0.125,5259.287357
0.140625,5258.870125
0.15625,5258.631706
0.171875,5258.786678
0.1875,5258.94165
0.203125,5259.072781
0.21875,5258.989334
0.234375,5258.619785
0.25,5258.536339
0.265625,5258.572102
0.28125,5258.29792
0.296875,5257.666111
0.3125,5256.986618
0.328125,5257.308483
0.34375,5258.309841
0.359375,5258.643627
0.375,5261.230469
0.390625,5261.647701
0.40625,5242.145061
0.421875,5251.169205
0.4375,5368.113518
0.453125,5488.431454
0.46875,5464.947224
0.484375,5374.836922
0.5,5327.141285
0.515625,5304.408073
0.53125,5280.470848
0.546875,5258.703232
0.5625,5241.334438
0.578125,5227.565765
0.59375,5215.525627
0.609375,5204.319954
0.625,5194.723606
0.640625,5186.82003
0.65625,5180.132389
0.671875,5174.303055
0.6875,5169.689655
0.703125,5166.649818
0.71875,5164.575577
0.734375,5163.121223
0.75,5162.155628
0.765625,5161.654949
0.78125,5162.072182
0.796875,5163.288116
0.8125,5164.813995
0.828125,5166.327953
0.84375,5167.853832
0.859375,5169.677734
0.875,5171.489716
0.890625,5172.860622
0.90625,5174.422264
0.921875,5176.591873
0.9375,5178.999901
0.953125,5181.396008
0.96875,5183.99477
0.984375,5186.593533
1,5188.894272
1.015625,5191.31422
1.03125,5194.652081
1.046875,5198.75288
1.0625,5202.043056
1.078125,5203.676224
1.09375,5205.142498
1.109375,5207.741261
1.125,5211.544037
1.140625,5215.275288
1.15625,5218.267441
1.171875,5221.164227
1.1875,5224.370956
1.203125,5227.839947
1.21875,5231.380463
1.234375,5233.991146
1.25,5235.743523
1.265625,5237.913132
1.28125,5241.048336
1.296875,5244.755745
1.3125,5247.950554
1.328125,5249.989033
1.34375,5251.288414
1.359375,5252.456665
1.375,5253.6726
1.390625,5255.317688
1.40625,5257.701874
1.421875,5260.109901
1.4375,5261.135101
1.453125,5260.896683
1.46875,5260.896683
1.484375,5261.766911
1.5,5262.744427
1.515625,5263.185501
1.53125,5263.161659
1.546875,5262.970924
1.5625,5263.471603
1.578125,5265.080929
1.59375,5266.904831
1.609375,5268.239975
1.625,5268.645287
1.640625,5267.91811
1.65625,5267.02404
1.671875,5267.369747
1.6875,5268.955231
1.703125,5270.159245
1.71875,5269.479752
1.734375,5268.025398
1.75,5267.298222
1.765625,5266.344547
1.78125,5264.401436
1.796875,5262.506008
1.8125,5260.980129
1.828125,5259.549618
1.84375,5257.868767
1.859375,5255.866051
1.875,5253.493786
1.890625,5251.181126
1.90625,5249.130726
1.921875,5247.604847
1.9375,5246.627331
1.953125,5245.637894
1.96875,5244.290829
1.984375,5242.431164
2,5239.844322
2.015625,5237.078667
2.03125,5235.19516
2.046875,5233.502388
2.0625,5230.283737
2.078125,5226.027966
2.09375,5222.439766
2.109375,5219.829082
2.125,5217.254162
2.140625,5214.250088
2.15625,5210.924149
2.171875,5207.073689
2.1875,5203.211308
2.203125,5200.123787
2.21875,5196.964741
2.234375,5192.840099
2.25,5188.381672
2.265625,5184.24511
2.28125,5180.311203
2.296875,5176.508427
2.3125,5172.741413
2.328125,5168.747902
2.34375,5164.372921
2.359375,5159.902573
2.375,5155.37262
2.390625,5150.353909
2.40625,5145.75243
2.421875,5142.259598
2.4375,5138.528347
2.453125,5133.259296
2.46875,5127.239227
2.484375,5121.850967
2.5,5117.344856
2.515625,5112.683773
2.53125,5107.748508
2.546875,5103.003979
2.5625,5098.092556
2.578125,5092.656612
2.59375,5087.041855
2.609375,5081.915855
2.625,5077.135563
2.640625,5071.699619
2.65625,5066.156387
2.671875,5061.292648
2.6875,5056.834221
2.703125,5052.32811
2.71875,5047.655106
2.734375,5042.874813
2.75,5037.808418
2.765625,5032.634735
2.78125,5027.341843
2.796875,5021.202564
2.8125,5015.146732
2.828125,5010.199547
2.84375,5004.763603
2.859375,4998.230934
2.875,4992.02013
2.890625,4986.584187
2.90625,4981.267452
2.921875,4976.129532
2.9375,4971.206188
2.953125,4965.353012
2.96875,4959.738255
2.984375,4956.328869
3,4953.861237
3.015625,4949.92733
3.03125,4944.384098
3.046875,4938.447475
3.0625,4933.059216
3.078125,4928.863049
3.09375,4924.821854
3.109375,4919.338226
3.125,4913.663864
3.140625,4908.967018
3.15625,4904.091358
3.171875,4898.440838
3.1875,4893.100262
3.203125,4888.641834
3.21875,4884.493351
3.234375,4880.154133
3.25,4875.791073
3.265625,4871.64259
3.28125,4867.529869
3.296875,4863.119125
3.3125,4859.447479
3.328125,4856.789112
3.34375,4853.785038
3.359375,4849.970341
3.375,4846.274853
3.390625,4842.889309
3.40625,4838.728905
3.421875,4834.032059
3.4375,4830.348492
3.453125,4826.98679
3.46875,4822.266102
3.484375,4817.557335
3.5,4814.982414
3.515625,4814.004898
3.53125,4812.502861
3.546875,4809.248447
3.5625,4804.170132
3.578125,4799.103737
3.59375,4796.254635
3.609375,4795.098305
3.625,4793.643951
3.640625,4790.866375
3.65625,4786.908627
3.671875,4783.034325
3.6875,4780.01833
3.703125,4776.918888
3.71875,4773.390293
3.734375,4770.064354
3.75,4767.251015
3.765625,4765.52248
3.78125,4765.021801
3.796875,4764.556885
3.8125,4763.197899
3.828125,4760.587215
3.84375,4757.404327
3.859375,4754.972458
3.875,4753.148556
3.890625,4751.229286
3.90625,4749.488831
3.921875,4747.796059
3.9375,4744.827747
3.953125,4740.846157
3.96875,4738.116264
3.984375,4737.174511
4,4736.077785
4.015625,4733.872414
4.03125,4731.225967
4.046875,4729.294777
4.0625,4729.104042
4.078125,4729.306698
4.09375,4728.066921
4.109375,4725.694656
4.125,4723.334312
4.140625,4721.128941
4.15625,4719.06662
4.171875,4717.755318
4.1875,4716.312885
4.203125,4713.463783
4.21875,4710.495472
4.234375,4709.041119
4.25,4708.898067
4.265625,4709.208012
4.28125,4709.005356
4.296875,4708.003998
4.3125,4706.442356
4.328125,4705.202579
4.34375,4704.916477
4.359375,4705.286026
4.375,4704.95224
4.390625,4702.806473
4.40625,4699.063301
4.421875,4695.868492
4.4375,4694.604874
4.453125,4694.139957
4.46875,4693.388939
4.484375,4692.816734
4.5,4691.743851
4.515625,4689.860344
4.53125,4688.215256
4.546875,4686.427116
4.5625,4684.996605
4.578125,4685.723782
4.59375,4687.261581
4.609375,4687.094688
4.625,4685.533047
4.640625,4684.257507
4.65625,4683.744907
4.671875,4683.470726
4.6875,4683.232307
4.703125,4682.75547
4.71875,4681.277275
4.734375,4678.630829
4.75,4676.103592
4.765625,4674.66116
4.78125,4673.910141
4.796875,4673.290253
4.8125,4672.49155
4.828125,4671.299458
4.84375,4670.250416
4.859375,4670.119286
4.875,4670.619965
4.890625,4671.132565
4.90625,4671.049118
4.921875,4670.143127
4.9375,4669.129848
4.953125,4668.295383
4.96875,4667.878151
4.984375,4668.033123
5,4667.60397
5.015625,4665.720463
5.03125,4663.300514
5.046875,4661.750793
5.0625,4661.488533
5.078125,4661.357403
5.09375,4660.117626
5.109375,4658.341408
5.125,4657.697678
5.140625,4658.102989
5.15625,4658.794403
5.171875,4659.509659
5.1875,4659.855366
5.203125,4659.986496
5.21875,4660.713673
5.234375,4661.345482
5.25,4660.797119
5.265625,4658.925533
5.28125,4656.326771
5.296875,4654.169083
5.3125,4652.738571
5.328125,4652.249813
5.34375,4653.191566
5.359375,4658.174515
5.375,4677.402973
5.390625,4660.069942
5.40625,4557.335377
5.421875,4705.226421
5.4375,5322.802067
5.453125,5752.658844
5.46875,5608.999729
5.484375,5360.56757
5.5,5226.182938
5.515625,5120.706558
5.53125,5054.974556
5.546875,5014.681816
5.5625,4978.334904
5.578125,4948.425293
5.59375,4924.738407
5.609375,4906.129837
5.625,4889.953136
5.640625,4875.826836
5.65625,4866.278172
5.671875,4859.578609
5.6875,4851.019382
5.703125,4841.792583
5.71875,4836.571217
5.734375,4834.890366
5.75,4833.447933
5.765625,4831.397533
5.78125,4829.192162
5.796875,4827.010632
5.8125,4825.556278
5.828125,4825.890064
5.84375,4827.880859
5.859375,4829.919338
5.875,4830.83725
5.890625,4830.694199
5.90625,4830.443859
5.921875,4831.588268
5.9375,4834.55658
5.953125,4837.870598
5.96875,4840.85083
5.984375,4843.854904
6,4846.072197
6.015625,4848.515987
6.03125,4853.212833
6.046875,4859.352112
6.0625,4864.597321
6.078125,4867.875576
6.09375,4868.912697
6.109375,4869.294167
6.125,4872.369766
6.140625,4877.519608
6.15625,4881.799221
6.171875,4884.505272
6.1875,4886.376858
6.203125,4888.391495
6.21875,4891.502857
6.234375,4896.28315
6.25,4901.182652
6.265625,4904.222488
6.28125,4906.058311
6.296875,4908.001423
6.3125,4910.516739
6.328125,4913.163185
6.34375,4916.393757
6.359375,4920.816422
6.375,4924.345016
6.390625,4926.049709
6.40625,4927.921295
6.421875,4930.126667
6.4375,4932.701588
6.453125,4936.32555
6.46875,4939.448833
6.484375,4941.213131
6.5,4942.655563
6.515625,4944.384098
6.53125,4946.315289
6.546875,4948.496819
6.5625,4951.155186
6.578125,4953.229427
6.59375,4954.791069
6.609375,4957.282543
6.625,4960.072041
6.640625,4961.824417
6.65625,4961.824417
6.671875,4960.19125
6.6875,4958.617687
6.703125,4958.128929
6.71875,4959.011078
6.734375,4960.513115
6.75,4961.740971
6.765625,4963.099957
6.78125,4964.160919
6.796875,4964.184761
6.8125,4964.637756
6.828125,4966.247082
6.84375,4967.975616
6.859375,4969.012737
6.875,4970.085621
6.890625,4971.289635
6.90625,4971.814156
6.921875,4971.468449
6.9375,4971.289635
6.953125,4971.253872
6.96875,4969.608784
6.984375,4966.711998
7,4964.876175
7.015625,4964.840412
7.03125,4965.496063
7.046875,4965.019226
7.0625,4962.456226
7.078125,4959.285259
7.09375,4957.127571
7.109375,4956.150055
7.125,4956.173897
7.140625,4956.73418
7.15625,4956.972599
7.171875,4956.543446
7.1875,4955.840111
7.203125,4955.363274
7.21875,4954.636097
7.234375,4952.943325
7.25,4951.035976
7.265625,4949.820042
7.28125,4948.973656
7.296875,4947.435856
7.3125,4945.111275
7.328125,4943.418503
7.34375,4942.965508
7.359375,4942.584038
7.375,4941.20121
7.390625,4938.50708
7.40625,4935.061932
7.421875,4932.069778
7.4375,4930.579662
7.453125,4929.673672
7.46875,4927.957058
7.484375,4925.513268
7.5,4923.009872
7.515625,4921.221733
7.53125,4920.220375
7.546875,4918.086529
7.5625,4914.557934
7.578125,4911.422729
7.59375,4909.539223
7.609375,4908.657074
7.625,4908.537865
7.640625,4908.561707
7.65625,4906.928539
7.671875,4903.304577
7.6875,4900.169373
7.703125,4898.333549
7.71875,4895.949364
7.734375,4892.408848
7.75,4888.534546
7.765625,4884.529114
7.78125,4880.475998
7.796875,4877.018929
7.8125,4874.694347
7.828125,4872.751236
7.84375,4870.200157
7.859375,4866.468906
7.875,4862.713814
7.890625,4860.174656
7.90625,4858.660698
7.921875,4856.705666
7.9375,4853.320122
7.953125,4849.338531
7.96875,4846.441746
7.984375,4844.498634
8,4842.686653
8.015625,4840.373993
8.03125,4836.750031
8.046875,4832.315445
8.0625,4828.345776
8.078125,4824.578762
8.09375,4821.050167
8.109375,4818.3918
8.125,4816.961288
8.140625,4816.043377
8.15625,4814.231396
8.171875,4810.607433
8.1875,4805.409908
8.203125,4800.248146
8.21875,4796.206951
8.234375,4793.000221
8.25,4790.210724
8.265625,4787.33778
8.28125,4783.535004
8.296875,4779.958725
8.3125,4777.514935
8.328125,4774.785042
8.34375,4770.922661
8.359375,4766.631126
8.375,4761.946201
8.390625,4757.761955
8.40625,4755.806923
8.421875,4754.960537
8.4375,4753.339291
8.453125,4750.442505
8.46875,4747.033119
8.484375,4743.742943
8.5,4739.940166
8.515625,4735.791683
8.53125,4732.716084
8.546875,4730.057716
8.5625,4725.980759
8.578125,4720.425606
8.59375,4715.061188
8.609375,4711.556435
8.625,4709.160328
8.640625,4705.512524
8.65625,4700.97065
8.671875,4697.299004
8.6875,4694.032669
8.703125,4690.96899
8.71875,4688.799381
8.734375,4687.023163
8.75,4684.722424
