Time,BioZ
0,6126.081944
0.015625,6249.988079
0.03125,6249.988079
0.046875,6227.362156
0.0625,6243.526936
0.078125,6248.724461
0.09375,6248.84367
0.109375,6248.84367
0.125,6248.84367
0.140625,6248.84367
0.15625,6248.84367
0.171875,6248.84367
0.1875,6248.84367
0.203125,6248.84367
0.21875,6248.84367
0.234375,6248.84367
0.25,6248.84367
0.265625,6248.84367
0.28125,6248.84367
0.296875,6248.84367
0.3125,6248.84367
0.328125,6248.84367
0.34375,6248.84367
0.359375,6248.84367
0.375,6248.84367
0.390625,6248.84367
0.40625,6248.84367
0.421875,6248.84367
0.4375,6248.84367
0.453125,6248.84367
0.46875,6248.84367
0.484375,6248.84367
0.5,6248.84367
0.515625,6248.84367
0.53125,6248.84367
0.546875,6248.84367
0.5625,6248.84367
0.578125,6248.84367
0.59375,6248.84367
0.609375,6248.84367
0.625,6248.84367
0.640625,6248.84367
0.65625,6248.84367
0.671875,6248.84367
0.6875,6248.84367
0.703125,6248.84367
0.71875,6248.84367
0.734375,6248.84367
0.75,6248.84367
0.765625,6248.84367
0.78125,6248.84367
0.796875,6248.84367
0.8125,6248.84367
0.828125,6248.84367
0.84375,6248.84367
0.859375,6248.84367
0.875,6248.84367
0.890625,6248.84367
0.90625,6248.84367
0.921875,6248.84367
0.9375,6248.84367
0.953125,6248.84367
0.96875,6248.84367
0.984375,6248.84367
1,6248.84367
1.015625,6248.84367
1.03125,6248.84367
1.046875,6248.84367
1.0625,6248.84367
1.078125,6248.84367
1.09375,6248.84367
1.109375,6248.84367
1.125,6248.84367
1.140625,6248.84367
1.15625,6248.84367
1.171875,6248.84367
1.1875,6248.84367
1.203125,6248.84367
1.21875,6248.84367
1.234375,6248.84367
1.25,6248.84367
1.265625,6248.84367
1.28125,6248.84367
1.296875,6248.84367
1.3125,6248.84367
1.328125,6248.84367
1.34375,6248.84367
1.359375,6248.84367
1.375,6248.84367
1.390625,6248.84367
1.40625,6248.84367
1.421875,6248.84367
1.4375,6248.84367
1.453125,6248.84367
1.46875,6248.84367
1.484375,6248.84367
1.5,6248.84367
1.515625,6248.84367
1.53125,6248.84367
1.546875,6248.84367
1.5625,6248.84367
1.578125,6248.84367
1.59375,6248.84367
1.609375,6248.84367
1.625,6248.84367
1.640625,6248.84367
1.65625,6248.84367
1.671875,6248.84367
1.6875,6248.84367
1.703125,6248.84367
1.71875,6248.84367
1.734375,6248.84367
1.75,6248.84367
1.765625,6248.84367
1.78125,6248.84367
1.796875,6248.84367
1.8125,6248.84367
1.828125,6248.84367
1.84375,6248.84367
1.859375,6248.84367
1.875,6248.84367
1.890625,6248.84367
1.90625,6248.84367
1.921875,6248.84367
1.9375,6248.84367
1.953125,6248.84367
1.96875,6248.84367
1.984375,6248.84367
2,6248.84367
2.015625,6248.84367
2.03125,6248.84367
2.046875,6248.819828
2.0625,6248.784065
2.078125,6248.867512
2.09375,6248.962879
2.109375,6248.426437
2.125,6247.067451
2.140625,6245.529652
2.15625,6244.146824
2.171875,6242.81168
2.1875,6241.333485
2.203125,6239.664555
2.21875,6237.733364
2.234375,6235.742569
2.25,6234.014034
2.265625,6232.309341
2.28125,6230.270863
2.296875,6228.101254
2.3125,6226.313114
2.328125,6224.584579
2.34375,6222.653389
2.359375,6220.805645
2.375,6219.017506
2.390625,6217.312813
2.40625,6215.834618
2.421875,6213.55772
2.4375,6210.291386
2.453125,6207.52573
2.46875,6205.642223
2.484375,6204.020977
2.5,6201.934814
2.515625,6199.56255
2.53125,6197.237968
2.546875,6194.913387
2.5625,6192.886829
2.578125,6190.943718
2.59375,6188.1423
2.609375,6184.720993
2.625,6181.85997
2.640625,6179.773808
2.65625,6177.675724
2.671875,6175.303459
2.6875,6172.87159
2.703125,6170.272827
2.71875,6167.459488
2.734375,6165.027618
2.75,6163.203716
2.765625,6161.224842
2.78125,6158.423424
2.796875,6155.133247
2.8125,6152.546406
2.828125,6150.484085
2.84375,6148.004532
2.859375,6145.429611
2.875,6143.009663
2.890625,6139.993668
2.90625,6136.500835
2.921875,6133.663654
2.9375,6131.994724
2.953125,6130.456924
2.96875,6127.393246
2.984375,6123.47126
3,6121.015549
3.015625,6119.203568
3.03125,6115.615368
3.046875,6111.776829
3.0625,6109.86948
3.078125,6108.176708
3.09375,6105.184555
3.109375,6101.810932
3.125,6098.687649
3.140625,6095.516682
3.15625,6092.512608
3.171875,6089.59198
3.1875,6086.528301
3.203125,6084.036827
3.21875,6081.950665
3.234375,6079.280376
3.25,6076.037884
3.265625,6073.355675
3.28125,6071.424484
3.296875,6069.159508
3.3125,6066.584587
3.328125,6064.724922
3.34375,6063.187122
3.359375,6060.647964
3.375,6057.584286
3.390625,6054.55637
3.40625,6051.301956
3.421875,6048.500538
3.4375,6046.438217
3.453125,6044.316292
3.46875,6041.669846
3.484375,6037.974358
3.5,6034.350395
3.515625,6031.680107
3.53125,6029.129028
3.546875,6026.279926
3.5625,6023.526192
3.578125,6020.987034
3.59375,6018.686295
3.609375,6016.325951
3.625,6013.476849
3.640625,6010.317802
3.65625,6007.158756
3.671875,6003.749371
3.6875,6001.055241
3.703125,5999.946594
3.71875,5998.063087
3.734375,5994.057655
3.75,5990.386009
3.765625,5987.727642
3.78125,5984.485149
3.796875,5981.099606
3.8125,5978.33395
3.828125,5975.544453
3.84375,5972.003937
3.859375,5968.439579
3.875,5965.900421
3.890625,5963.683128
3.90625,5960.607529
3.921875,5957.114697
3.9375,5953.943729
3.953125,5951.38073
3.96875,5949.115753
3.984375,5946.326256
4,5943.119526
4.015625,5940.198898
4.03125,5937.564373
4.046875,5934.798717
4.0625,5932.128429
4.078125,5929.374695
4.09375,5926.62096
4.109375,5923.66457
4.125,5920.791626
4.140625,5918.335915
4.15625,5915.808678
4.171875,5912.792683
4.1875,5910.015106
4.203125,5907.809734
4.21875,5905.330181
4.234375,5902.671814
4.25,5899.93
4.265625,5897.033215
4.28125,5894.482136
4.296875,5892.22908
4.3125,5889.475346
4.328125,5886.423588
4.34375,5883.407593
4.359375,5880.725384
4.375,5878.663063
4.390625,5876.278877
4.40625,5872.893333
4.421875,5870.079994
4.4375,5868.983269
4.453125,5867.815018
4.46875,5864.644051
4.484375,5860.555172
4.5,5857.753754
4.515625,5855.917931
4.53125,5853.176117
4.546875,5849.850178
4.5625,5847.144127
4.578125,5844.461918
4.59375,5841.469765
4.609375,5838.727951
4.625,5835.998058
4.640625,5833.220482
4.65625,5830.621719
4.671875,5827.987194
4.6875,5824.85199
4.703125,5821.681023
4.71875,5818.760395
4.734375,5815.982819
4.75,5813.527107
4.765625,5811.369419
4.78125,5808.913708
4.796875,5806.052685
4.8125,5803.68042
4.828125,5802.261829
4.84375,5800.485611
4.859375,5797.958374
4.875,5795.657635
4.890625,5793.523788
4.90625,5791.866779
4.921875,5790.448189
4.9375,5776.34573
4.953125,5785.97784
4.96875,5847.632885
4.984375,5786.013603
5,5667.233467
5.015625,5880.379677
5.03125,6231.307983
5.046875,6249.988079
5.0625,6242.370605
5.078125,6237.280369
5.09375,6247.544289
5.109375,6248.84367
5.125,6248.84367
5.140625,6248.84367
5.15625,6248.84367
5.171875,6248.84367
5.1875,6248.84367
5.203125,6248.84367
5.21875,6248.84367
5.234375,6248.84367
5.25,6248.84367
5.265625,6248.84367
5.28125,6248.84367
5.296875,6248.84367
5.3125,6248.84367
5.328125,6248.84367
5.34375,6248.84367
5.359375,6248.84367
5.375,6248.84367
5.390625,6248.84367
5.40625,6248.84367
5.421875,6248.84367
5.4375,6248.84367
5.453125,6248.84367
5.46875,6248.84367
5.484375,6248.84367
5.5,6248.84367
5.515625,6248.84367
5.53125,6248.84367
5.546875,6248.84367
5.5625,6248.84367
5.578125,6248.84367
5.59375,6248.84367
5.609375,6248.84367
5.625,6248.84367
5.640625,6248.84367
5.65625,6248.84367
5.671875,6248.84367
5.6875,6248.84367
5.703125,6248.84367
5.71875,6248.84367
5.734375,6248.84367
5.75,6248.84367
5.765625,6248.84367
5.78125,6248.84367
5.796875,6248.84367
5.8125,6248.84367
5.828125,6248.84367
5.84375,6248.84367
5.859375,6248.84367
5.875,6248.84367
5.890625,6248.84367
5.90625,6248.84367
5.921875,6248.84367
5.9375,6248.84367
5.953125,6248.84367
5.96875,6248.84367
5.984375,6248.84367
6,6248.84367
6.015625,6248.84367
6.03125,6248.84367
6.046875,6248.84367
6.0625,6248.84367
6.078125,6248.84367
6.09375,6248.84367
6.109375,6248.84367
6.125,6248.84367
6.140625,6248.84367
6.15625,6248.84367
6.171875,6248.84367
6.1875,6248.84367
6.203125,6248.84367
6.21875,6248.84367
6.234375,6248.84367
6.25,6248.84367
6.265625,6248.84367
6.28125,6248.84367
6.296875,6248.84367
6.3125,6248.84367
6.328125,6248.84367
6.34375,6248.84367
6.359375,6248.84367
6.375,6248.84367
6.390625,6248.84367
6.40625,6248.84367
6.421875,6248.84367
6.4375,6248.84367
6.453125,6248.831749
6.46875,6248.819828
6.484375,6248.784065
6.5,6248.831749
6.515625,6248.927116
6.53125,6248.533726
6.546875,6247.270107
6.5625,6245.744228
6.578125,6244.325638
6.59375,6242.668629
6.609375,6241.14275
6.625,6240.022182
6.640625,6238.651276
6.65625,6237.053871
6.671875,6235.659122
6.6875,6234.145164
6.703125,6232.511997
6.71875,6231.117249
6.734375,6229.7225
6.75,6227.993965
6.765625,6226.217747
6.78125,6224.477291
6.796875,6222.748756
6.8125,6221.008301
6.828125,6219.351292
6.84375,6217.634678
6.859375,6215.453148
6.875,6212.91399
6.890625,6210.60133
6.90625,6208.598614
6.921875,6206.560135
6.9375,6204.557419
6.953125,6202.232838
6.96875,6199.502945
6.984375,6197.035313
7,6195.104122
7.015625,6192.970276
7.03125,6190.252304
7.046875,6187.713146
7.0625,6185.674667
7.078125,6183.409691
7.09375,6180.787086
7.109375,6178.569794
7.125,6177.532673
7.140625,6177.425385
7.15625,6176.066399
7.171875,6172.561646
7.1875,6169.426441
7.203125,6168.091297
7.21875,6166.827679
7.234375,6164.515018
7.25,6161.916256
7.265625,6159.520149
7.28125,6157.517433
7.296875,6156.718731
7.3125,6156.289577
7.328125,6153.905392
7.34375,6150.245667
7.359375,6148.529053
7.375,6148.75555
7.390625,6147.348881
7.40625,6143.522263
7.421875,6140.220165
7.4375,6139.111519
7.453125,6138.062477
7.46875,6135.320663
7.484375,6132.400036
7.5,6130.230427
7.515625,6128.370762
7.53125,6126.630306
7.546875,6125.00906
7.5625,6123.232841
7.578125,6121.194363
7.59375,6119.346619
7.609375,6117.5704
7.625,6115.829945
7.640625,6113.934517
7.65625,6110.966206
7.671875,6107.711792
7.6875,6106.436253
7.703125,6106.245518
7.71875,6104.016304
7.734375,6100.475788
7.75,6098.175049
7.765625,6096.994877
7.78125,6095.707417
7.796875,6093.537807
7.8125,6090.593338
7.828125,6088.197231
7.84375,6086.89785
7.859375,6085.348129
7.875,6083.118916
7.890625,6081.032753
7.90625,6079.232693
7.921875,6077.432632
7.9375,6075.489521
7.953125,6073.522568
7.96875,6071.174145
7.984375,6068.205833
8,6065.607071
8.015625,6064.045429
8.03125,6063.03215
8.046875,6061.887741
8.0625,6060.540676
8.078125,6058.824062
8.09375,6056.308746
8.109375,6053.626537
8.125,6051.576138
8.140625,6050.205231
8.15625,6049.358845
8.171875,6048.417091
8.1875,6046.080589
8.203125,6042.945385
8.21875,6041.026115
8.234375,6039.965153
8.25,6037.962437
8.265625,6035.387516
8.28125,6033.599377
8.296875,6031.727791
8.3125,6029.224396
8.328125,6026.84021
8.34375,6024.92094
8.359375,6023.263931
8.375,6021.845341
8.390625,6020.390987
8.40625,6018.590927
8.421875,6016.600132
8.4375,6014.6451
8.453125,6012.642384
8.46875,6010.389328
8.484375,6008.505821
8.5,6007.07531
8.515625,6005.251408
8.53125,6003.153324
8.546875,6001.937389
8.5625,6000.816822
8.578125,5998.301506
8.59375,5995.249748
8.609375,5993.235111
8.625,5992.352962
8.640625,5991.268158
8.65625,5988.752842
8.671875,5985.987186
8.6875,5984.628201
8.703125,5983.698368
8.71875,5982.494354
8.734375,5980.885029
8.75,5978.20282
8.765625,5975.425243
8.78125,5973.303318
8.796875,5971.062183
8.8125,5969.130993
8.828125,5967.772007
8.84375,5966.126919
8.859375,5964.279175
8.875,5962.657928
8.890625,5960.953236
8.90625,5958.926678
8.921875,5957.186222
8.9375,5955.779552
8.953125,5953.800678
8.96875,5951.440334
8.984375,5949.926376
9,5948.781967
9.015625,5946.791172
9.03125,5944.681168
9.046875,5943.107605
9.0625,5941.283703
9.078125,5939.161777
9.09375,5937.254429
9.109375,5935.454369
9.125,5933.964252
9.140625,5932.712555
9.15625,5931.246281
9.171875,5929.410458
9.1875,5927.526951
9.203125,5925.989151
9.21875,5924.630165
9.234375,5922.853947
9.25,5920.732021
9.265625,5918.967724
9.28125,5917.191505
9.296875,5915.212631
9.3125,5913.758278
9.328125,5912.50658
9.34375,5910.813808
9.359375,5908.930302
9.375,5907.428265
9.390625,5905.997753
9.40625,5904.173851
9.421875,5902.397633
9.4375,5901.08633
9.453125,5899.739265
9.46875,5898.058414
9.484375,5896.222591
9.5,5894.577503
9.515625,5893.099308
9.53125,5891.466141
9.546875,5889.737606
9.5625,5888.032913
9.578125,5886.70969
9.59375,5886.590481
9.609375,5886.650085
9.625,5885.398388
9.640625,5883.049965
9.65625,5880.773067
9.671875,5879.247189
9.6875,5877.72131
9.703125,5875.372887
9.71875,5873.394012
9.734375,5871.82045
9.75,5869.925022
9.765625,5867.886543
9.78125,5866.336823
9.796875,5865.299702
9.8125,5864.155293
9.828125,5862.653255
9.84375,5861.330032
9.859375,5859.8876
9.875,5857.813358
9.890625,5855.357647
9.90625,5854.356289
