Time,BioZ
0,5318.86816
0.015625,5939.555168
0.03125,6249.988079
0.046875,6249.988079
0.0625,6232.070923
0.078125,6240.057945
0.09375,6246.864796
0.109375,6248.4622
0.125,6248.795986
0.140625,6248.84367
0.15625,6248.84367
0.171875,6248.84367
0.1875,6248.84367
0.203125,6248.84367
0.21875,6248.84367
0.234375,6248.84367
0.25,6248.84367
0.265625,6248.84367
0.28125,6248.84367
0.296875,6248.84367
0.3125,6248.84367
0.328125,6248.84367
0.34375,6248.84367
0.359375,6248.84367
0.375,6248.84367
0.390625,6248.84367
0.40625,6248.831749
0.421875,6248.819828
0.4375,6248.784065
0.453125,6248.831749
0.46875,6248.84367
0.484375,6248.450279
0.5,6247.389317
0.515625,6245.398521
0.53125,6242.918968
0.546875,6241.309643
0.5625,6240.236759
0.578125,6238.508224
0.59375,6236.66048
0.609375,6235.206127
0.625,6233.239174
0.640625,6230.545044
0.65625,6227.326393
0.671875,6223.702431
0.6875,6220.424175
0.703125,6217.467785
0.71875,6214.213371
0.734375,6210.649014
0.75,6207.096577
0.765625,6203.591824
0.78125,6200.20628
0.796875,6196.951866
0.8125,6193.804741
0.828125,6190.58609
0.84375,6187.152863
0.859375,6183.755398
0.875,6180.763245
0.890625,6178.045273
0.90625,6174.969673
0.921875,6171.822548
0.9375,6168.735027
0.953125,6165.3018
0.96875,6161.808968
0.984375,6158.50687
1,6155.204773
1.015625,6152.21262
1.03125,6149.744987
1.046875,6147.050858
1.0625,6143.9991
1.078125,6140.935421
1.09375,6137.537956
1.109375,6133.496761
1.125,6129.539013
1.140625,6126.224995
1.15625,6123.387814
1.171875,6120.669842
1.1875,6117.391586
1.203125,6113.827229
1.21875,6110.942364
1.234375,6108.486652
1.25,6105.589867
1.265625,6102.478504
1.28125,6099.748611
1.296875,6097.459793
1.3125,6095.087528
1.328125,6092.119217
1.34375,6089.055538
1.359375,6086.575985
1.375,6084.167957
1.390625,6081.020832
1.40625,6077.229977
1.421875,6073.856354
1.4375,6071.257591
1.453125,6068.718433
1.46875,6066.131592
1.484375,6063.854694
1.5,6061.792374
1.515625,6059.408188
1.53125,6056.7379
1.546875,6053.864956
1.5625,6050.83704
1.578125,6048.14291
1.59375,6045.663357
1.609375,6042.540073
1.625,6038.939953
1.640625,6035.959721
1.65625,6034.374237
1.671875,6034.076214
1.6875,6033.456326
1.703125,6031.823158
1.71875,6030.476093
1.734375,6029.498577
1.75,6027.925014
1.765625,6026.279926
1.78125,6025.55275
1.796875,6025.147438
1.8125,6023.812294
1.828125,6021.916866
1.84375,6021.082401
1.859375,6020.319462
1.875,6017.303467
1.890625,6012.785435
1.90625,6008.481979
1.921875,6004.142761
1.9375,5999.517441
1.953125,5994.737148
1.96875,5989.539623
1.984375,5983.603001
2,5976.653099
2.015625,5969.190598
2.03125,5962.646008
2.046875,5957.496166
2.0625,5953.097343
2.078125,5948.257446
2.09375,5942.475796
2.109375,5936.908722
2.125,5932.021141
