Time,BioZ
0,2715.110779
0.015625,1226.806641
0.03125,1258.194447
0.046875,1485.753059
0.0625,1439.237595
0.078125,1391.768456
0.09375,1384.460926
0.109375,1380.574703
0.125,1377.403736
0.140625,1375.257969
0.15625,1373.99435
0.171875,1373.422146
0.1875,1373.612881
0.203125,1374.590397
0.21875,1376.533508
0.234375,1379.084587
0.25,1382.052898
0.265625,1385.092735
0.28125,1387.59613
0.296875,1390.67173
0.3125,1394.867897
0.328125,1398.37265
0.34375,1400.744915
0.359375,1403.272152
0.375,1406.550407
0.390625,1409.626007
0.40625,1411.795616
0.421875,1413.822174
0.4375,1415.872574
0.453125,1417.779922
0.46875,1419.758797
0.484375,1421.487331
0.5,1422.834396
0.515625,1424.562931
0.53125,1426.637173
0.546875,1428.079605
0.5625,1428.747177
0.578125,1429.319382
0.59375,1430.571079
0.609375,1432.1208
0.625,1433.026791
0.640625,1433.420181
0.65625,1434.063911
0.671875,1435.136795
0.6875,1436.507702
0.703125,1437.246799
0.71875,1437.151432
0.734375,1437.330246
0.75,1438.510418
0.765625,1439.619064
0.78125,1439.929008
0.796875,1439.893246
0.8125,1440.107822
0.828125,1440.548897
0.84375,1441.133022
0.859375,1441.407204
0.875,1441.502571
0.890625,1441.860199
0.90625,1442.468166
0.921875,1442.873478
0.9375,1442.873478
0.953125,1442.849636
0.96875,1443.243027
0.984375,1443.934441
1,1444.113255
1.015625,1443.505287
1.03125,1443.362236
1.046875,1444.363594
1.0625,1445.531845
1.078125,1445.543766
1.09375,1444.852352
1.109375,1444.709301
1.125,1445.138454
1.140625,1445.353031
1.15625,1445.198059
1.171875,1445.090771
1.1875,1445.364952
1.203125,1445.972919
1.21875,1446.163654
1.234375,1445.603371
1.25,1445.233822
1.265625,1445.662975
1.28125,1446.10405
1.296875,1446.10405
1.3125,1445.829868
1.328125,1445.937157
1.34375,1446.74778
1.359375,1447.439194
1.375,1447.343826
1.390625,1446.807384
1.40625,1446.700096
1.421875,1447.308064
1.4375,1448.082924
1.453125,1447.999477
1.46875,1447.582245
1.484375,1447.880268
1.5,1448.464394
1.515625,1448.404789
1.53125,1447.52264
1.546875,1447.045803
1.5625,1447.534561
1.578125,1448.178291
1.59375,1448.106766
1.609375,1447.784901
1.625,1448.059082
1.640625,1448.595524
1.65625,1448.667049
1.671875,1448.476315
1.6875,1448.380947
1.703125,1448.190212
1.71875,1448.392868
1.734375,1449.000835
1.75,1449.000835
1.765625,1448.500156
1.78125,1448.655128
1.796875,1449.656487
1.8125,1450.121403
1.828125,1449.453831
1.84375,1448.988914
1.859375,1449.394226
1.875,1449.561119
1.890625,1449.000835
1.90625,1448.655128
1.921875,1448.643208
1.9375,1448.655128
1.953125,1448.523998
1.96875,1448.214054
1.984375,1447.999477
2,1448.321342
2.015625,1448.619366
2.03125,1448.190212
2.046875,1447.749138
2.0625,1448.16637
2.078125,1448.976994
2.09375,1449.036598
2.109375,1448.190212
2.125,1447.749138
2.140625,1448.380947
2.15625,1449.096203
2.171875,1449.072361
2.1875,1448.726654
2.203125,1448.440552
2.21875,1448.428631
2.234375,1448.67897
2.25,1448.810101
2.265625,1448.476315
2.28125,1448.118687
2.296875,1448.440552
2.3125,1449.024677
2.328125,1448.941231
2.34375,1448.67897
2.359375,1449.143887
2.375,1449.918747
2.390625,1450.490952
2.40625,1450.812817
2.421875,1451.134682
2.4375,1452.255249
2.453125,1454.043388
2.46875,1455.414295
2.484375,1456.391811
2.5,1457.881927
2.515625,1459.45549
2.53125,1460.444927
2.546875,1460.969448
2.5625,1461.50589
2.578125,1462.125778
2.59375,1462.757587
2.609375,1463.258266
2.625,1463.031769
2.640625,1462.244987
2.65625,1462.304592
2.671875,1463.460922
2.6875,1463.973522
2.703125,1463.413239
2.71875,1463.055611
2.734375,1463.425159
2.75,1463.794708
2.765625,1463.103294
2.78125,1461.744308
2.796875,1461.25555
2.8125,1461.434364
2.828125,1461.172104
2.84375,1460.254192
2.859375,1459.300518
2.875,1458.81176
2.890625,1458.489895
2.90625,1457.762718
2.921875,1456.701756
2.9375,1455.783844
2.953125,1455.688477
2.96875,1455.85537
2.984375,1455.295086
3,1454.079151
3.015625,1452.732086
3.03125,1451.992989
3.046875,1451.826096
3.0625,1451.24197
3.078125,1449.930668
3.09375,1449.072361
3.109375,1449.120045
3.125,1449.251175
3.140625,1448.321342
3.15625,1445.770264
3.171875,1443.183422
3.1875,1442.158222
3.203125,1442.217827
3.21875,1442.396641
3.234375,1442.730427
3.25,1443.696022
3.265625,1445.019245
3.28125,1445.806026
3.296875,1445.257664
3.3125,1443.696022
3.328125,1442.205906
3.34375,1441.371441
3.359375,1441.311836
3.375,1441.299915
3.390625,1440.751553
3.40625,1439.619064
3.421875,1438.391209
3.4375,1437.592506
3.453125,1437.366009
3.46875,1437.25872
3.484375,1436.555386
3.5,1435.685158
3.515625,1435.029507
3.53125,1434.648037
3.546875,1434.791088
3.5625,1435.32753
3.578125,1435.315609
3.59375,1434.56459
3.609375,1434.111595
3.625,1434.314251
3.640625,1434.707642
3.65625,1435.32753
3.671875,1436.007023
3.6875,1435.792446
3.703125,1435.542107
3.71875,1437.342167
3.734375,1439.619064
3.75,1439.30912
3.765625,1438.069344
3.78125,1438.570023
3.796875,1440.20319
3.8125,1441.264153
3.828125,1441.466808
3.84375,1442.122459
3.859375,1443.624496
3.875,1444.959641
3.890625,1445.639133
3.90625,1446.211338
3.921875,1447.045803
3.9375,1448.28558
3.953125,1449.501514
3.96875,1450.383663
3.984375,1451.086998
4,1451.444626
4.015625,1451.790333
4.03125,1452.827454
4.046875,1453.828812
4.0625,1453.745365
4.078125,1453.351974
4.09375,1453.721523
4.109375,1454.651356
4.125,1455.569267
4.140625,1455.9865
4.15625,1456.201077
4.171875,1456.773281
4.1875,1457.738876
4.203125,1458.203793
4.21875,1457.893848
4.234375,1457.715034
4.25,1457.965374
4.265625,1457.941532
4.28125,1457.750797
4.296875,1457.500458
4.3125,1457.679272
4.328125,1458.466053
4.34375,1459.002495
4.359375,1459.07402
4.375,1459.062099
4.390625,1458.930969
4.40625,1458.930969
4.421875,1459.45549
4.4375,1460.027695
4.453125,1459.96809
4.46875,1459.717751
4.484375,1460.385323
4.5,1461.935043
4.515625,1463.04369
4.53125,1463.139057
4.546875,1463.210583
4.5625,1463.68742
4.578125,1464.390755
4.59375,1465.058327
4.609375,1465.249062
4.625,1464.676857
4.640625,1464.247704
4.65625,1464.807987
4.671875,1465.570927
4.6875,1465.320587
4.703125,1464.319229
4.71875,1463.675499
4.734375,1463.627815
4.75,1463.663578
4.765625,1463.341713
4.78125,1462.566853
4.796875,1461.780071
4.8125,1461.303234
4.828125,1461.279392
4.84375,1461.064816
4.859375,1460.182667
4.875,1459.431648
4.890625,1459.467411
4.90625,1464.939117
4.921875,1514.828205
4.9375,1533.412933
4.953125,1219.010353
4.96875,1267.075539
4.984375,3179.204464
5,5480.742455
5.015625,5125.367641
5.03125,3233.325481
5.046875,2550.733089
5.0625,2812.194824
5.078125,2914.595604
5.09375,2868.676186
5.109375,2853.035927
5.125,2851.855755
5.140625,2849.507332
5.15625,2846.968174
5.171875,2845.799923
5.1875,2845.215797
5.203125,2843.868732
5.21875,2841.889858
5.234375,2840.542793
5.25,2840.471268
5.265625,2841.067314
5.28125,2841.329575
5.296875,2841.079235
5.3125,2840.983868
5.328125,2841.9137
5.34375,2844.047546
5.359375,2845.513821
5.375,2844.9893
5.390625,2843.534946
5.40625,2842.342854
5.421875,2841.293812
5.4375,2840.173244
5.453125,2839.112282
5.46875,2838.671207
5.484375,2839.505672
5.5,2841.091156
5.515625,2841.937542
5.53125,2841.162682
5.546875,2839.767933
5.5625,2839.946747
5.578125,2841.162682
5.59375,2841.293812
5.609375,2840.065956
5.625,2839.314938
5.640625,2839.708328
5.65625,2840.280533
5.671875,2840.173244
5.6875,2839.648724
5.703125,2839.374542
5.71875,2839.624882
5.734375,2840.220928
5.75,2840.435505
5.765625,2839.756012
5.78125,2838.3255
5.796875,2836.501598
5.8125,2834.165096
5.828125,2831.482887
5.84375,2829.015255
5.859375,2827.40593
5.875,2826.488018
5.890625,2825.939655
5.90625,2825.737
5.921875,2825.677395
5.9375,2824.378014
5.953125,2822.27993
5.96875,2821.326256
5.984375,2821.183205
6,2820.110321
6.015625,2818.5606
6.03125,2818.036079
6.046875,2818.858624
6.0625,2819.907665
6.078125,2820.038795
6.09375,2818.989754
6.109375,2817.320824
6.125,2815.461159
6.140625,2813.816071
6.15625,2812.600136
6.171875,2811.586857
6.1875,2811.193466
6.203125,2810.99081
6.21875,2810.883522
6.234375,2811.551094
6.25,2812.075615
6.265625,2810.871601
6.28125,2808.988094
6.296875,2808.523178
6.3125,2809.453011
6.328125,2810.454369
6.34375,2810.823917
6.359375,2810.835838
6.375,2811.479568
6.390625,2812.433243
6.40625,2812.623978
