Time,BioZ
0,2831.816673
0.015625,2895.259857
0.03125,2982.616425
0.046875,2952.218056
0.0625,2927.410603
0.078125,2919.626236
0.09375,2912.318707
0.109375,2902.650833
0.125,2895.331383
0.140625,2888.870239
0.15625,2879.059315
0.171875,2869.939804
0.1875,2863.323689
0.203125,2855.396271
0.21875,2847.731113
0.234375,2842.116356
0.25,2834.868431
0.265625,2827.370167
0.28125,2822.434902
0.296875,2816.832066
0.3125,2810.120583
0.328125,2805.626392
0.34375,2801.48983
0.359375,2796.471119
0.375,2793.288231
0.390625,2790.868282
0.40625,2787.435055
0.421875,2785.336971
0.4375,2784.574032
0.453125,2782.63092
0.46875,2780.807018
0.484375,2780.544758
0.5,2779.829502
0.515625,2778.351307
0.53125,2777.838707
0.546875,2777.850628
0.5625,2777.278423
0.578125,2777.159214
0.59375,2777.612209
0.609375,2776.84927
0.625,2775.740623
0.640625,2776.396275
0.65625,2776.861191
0.671875,2775.990963
0.6875,2776.20554
0.703125,2777.457237
0.71875,2777.397633
0.734375,2777.23074
0.75,2778.124809
0.765625,2778.160572
0.78125,2777.862549
0.796875,2778.804302
0.8125,2778.863907
0.828125,2777.421474
0.84375,2777.242661
0.859375,2777.826786
0.875,2777.373791
0.890625,2777.671814
0.90625,2778.697014
0.921875,2778.708935
0.9375,2779.340744
0.953125,2780.687809
0.96875,2780.461311
0.984375,2780.258656
1,2781.569958
1.015625,2781.701088
1.03125,2781.140804
1.046875,2781.939507
1.0625,2782.36866
1.078125,2781.72493
1.09375,2782.189846
1.109375,2783.01239
1.125,2782.642841
1.140625,2782.821655
1.15625,2783.560753
1.171875,2783.131599
1.1875,2782.88126
1.203125,2783.799171
1.21875,2783.787251
1.234375,2782.821655
1.25,2783.226967
1.265625,2784.311771
1.28125,2784.359455
1.296875,2784.490585
1.3125,2784.669399
1.328125,2783.942223
1.34375,2783.942223
1.359375,2784.81245
1.375,2784.359455
1.390625,2783.894539
1.40625,2784.705162
1.421875,2784.872055
1.4375,2784.764767
1.453125,2785.897255
1.46875,2786.326408
1.484375,2785.694599
1.5,2786.612511
1.515625,2787.852287
1.53125,2787.125111
1.546875,2786.505222
1.5625,2786.564827
1.578125,2785.468102
1.59375,2784.836292
1.609375,2785.623074
1.625,2784.883976
1.640625,2783.441544
1.65625,2784.585953
1.671875,2786.946297
1.6875,2788.364887
1.703125,2790.057659
1.71875,2791.512012
1.734375,2791.690826
1.75,2792.537212
1.765625,2793.776989
1.78125,2793.14518
1.796875,2792.513371
1.8125,2793.705463
1.828125,2793.896198
1.84375,2792.716026
1.859375,2793.109417
1.875,2793.753147
1.890625,2792.823315
1.90625,2793.300152
1.921875,2794.504166
1.9375,2792.906761
1.953125,2791.464329
1.96875,2792.263031
1.984375,2791.714668
2,2790.343761
2.015625,2790.83252
2.03125,2790.665627
2.046875,2789.545059
2.0625,2790.093422
2.078125,2790.009975
2.09375,2788.209915
2.109375,2788.746357
2.125,2789.914608
2.140625,2788.317204
2.15625,2787.280083
2.171875,2787.494659
2.1875,2786.052227
2.203125,2785.348892
2.21875,2786.135674
2.234375,2785.074711
2.25,2783.703804
2.265625,2784.192562
2.28125,2783.250809
2.296875,2780.866623
2.3125,2780.44939
2.328125,2780.473232
2.34375,2779.102325
2.359375,2778.935432
2.375,2780.234814
2.390625,2780.175209
2.40625,2779.591084
2.421875,2779.960632
2.4375,2779.495716
2.453125,2778.851986
2.46875,2779.519558
2.484375,2779.042721
2.5,2777.433395
2.515625,2777.612209
2.53125,2778.077126
2.546875,2777.695656
2.5625,2779.126167
2.578125,2780.711651
2.59375,2780.008316
2.609375,2780.246735
2.625,2781.47459
2.640625,2779.901028
2.65625,2778.160572
2.671875,2779.5434
2.6875,2779.769897
2.703125,2777.707577
2.71875,2778.124809
2.734375,2780.330181
2.75,2781.152725
2.765625,2781.939507
2.78125,2782.666683
2.796875,2782.11832
2.8125,2783.179283
2.828125,2785.83765
2.84375,2786.827087
2.859375,2788.197994
2.875,2791.023254
2.890625,2791.488171
2.90625,2791.082859
2.921875,2793.180943
2.9375,2794.897556
2.953125,2795.493603
2.96875,2798.449993
2.984375,2801.74017
3,2801.930904
3.015625,2801.811695
3.03125,2801.847458
3.046875,2799.189091
3.0625,2796.709538
3.078125,2797.698975
3.09375,2798.485756
3.109375,2797.937393
3.125,2799.332142
3.140625,2801.22757
3.15625,2801.10836
3.171875,2801.907063
3.1875,2804.243565
3.203125,2805.125713
3.21875,2805.829048
3.234375,2807.891369
3.25,2808.773518
3.265625,2809.226513
3.28125,2810.704708
3.296875,2810.430527
3.3125,2809.596062
3.328125,2811.37228
3.34375,2812.433243
3.359375,2810.835838
3.375,2809.739113
3.390625,2808.80928
3.40625,2806.389332
3.421875,2804.31509
3.4375,2802.455425
3.453125,2800.309658
3.46875,2800.905704
3.484375,2803.063393
3.5,2801.656723
3.515625,2799.272537
3.53125,2801.001072
3.546875,2804.374695
3.5625,2806.961536
3.578125,2809.727192
3.59375,2811.133862
3.609375,2811.336517
3.625,2812.993526
3.640625,2814.662457
3.65625,2814.209461
3.671875,2813.42268
3.6875,2813.315392
3.703125,2812.147141
3.71875,2810.239792
3.734375,2809.095383
3.75,2808.129787
3.765625,2807.307243
3.78125,2806.997299
3.796875,2805.757523
3.8125,2804.231644
3.828125,2804.732323
3.84375,2805.423737
3.859375,2804.815769
3.875,2805.387974
3.890625,2806.770802
3.90625,2805.936337
3.921875,2804.44622
3.9375,2803.850174
3.953125,2801.573277
3.96875,2798.771858
3.984375,2798.902988
4,2800.071239
4.015625,2800.118923
4.03125,2799.725533
4.046875,2797.698975
4.0625,2793.848515
4.078125,2792.525291
4.09375,2794.623375
4.109375,2794.003487
4.125,2788.507938
4.140625,2781.951427
4.15625,2774.262428
4.171875,2765.214443
4.1875,2757.430077
4.203125,2750.980854
4.21875,2745.66412
4.234375,2743.828297
4.25,2744.007111
4.265625,2741.587162
4.28125,2737.700939
4.296875,2736.914158
4.3125,2738.690376
4.328125,2741.372585
4.34375,2745.735645
4.359375,2750.480175
4.375,2754.020691
4.390625,2757.155895
4.40625,2759.432793
4.421875,2760.136127
4.4375,2762.293816
4.453125,2766.466141
4.46875,2768.218517
4.484375,2767.74168
4.5,2768.266201
4.515625,2768.659592
4.53125,2768.957615
4.546875,2770.793438
4.5625,2772.009373
4.578125,2771.735191
4.59375,2772.61734
4.609375,2774.059772
4.625,2774.488926
4.640625,2774.941921
