Time,BioZ
0,5448.663235
0.015625,5873.596668
0.03125,5939.686298
0.046875,5923.080444
0.0625,5945.86134
0.078125,5962.812901
0.09375,5970.978737
0.109375,5974.495411
0.125,5973.148346
0.140625,5971.884727
0.15625,5970.084667
0.171875,5965.75737
0.1875,5962.538719
0.203125,5960.10685
0.21875,5954.647064
0.234375,5948.746204
0.25,5944.740772
0.265625,5939.745903
0.28125,5934.286118
0.296875,5930.101871
0.3125,5924.141407
0.328125,5917.274952
0.34375,5913.233757
0.359375,5908.751488
0.375,5901.861191
0.390625,5897.259712
0.40625,5893.743038
0.421875,5887.305737
0.4375,5881.893635
0.453125,5878.460407
0.46875,5872.344971
0.484375,5866.062641
0.5,5862.891674
0.515625,5857.956409
0.53125,5851.244926
0.546875,5847.203732
0.5625,5842.81683
0.578125,5836.40337
0.59375,5832.135677
0.609375,5828.225613
0.625,5821.895599
0.640625,5817.377567
0.65625,5814.242363
0.671875,5808.162689
0.6875,5802.834034
0.703125,5800.247192
0.71875,5795.311928
0.734375,5789.315701
0.75,5786.299706
0.765625,5781.972408
0.78125,5775.642395
0.796875,5772.24493
0.8125,5768.930912
0.828125,5762.577057
0.84375,5758.821964
0.859375,5757.331848
0.875,5752.384663
0.890625,5746.924877
0.90625,5743.348598
0.921875,5738.484859
0.9375,5734.038353
0.953125,5730.998516
0.96875,5725.693703
0.984375,5720.901489
1,5718.994141
1.015625,5714.571476
1.03125,5708.134174
1.046875,5704.832077
1.0625,5701.220036
1.078125,5696.117878
1.09375,5693.936348
1.109375,5691.087246
1.125,5685.019493
1.140625,5681.610107
1.15625,5679.416656
1.171875,5673.861504
1.1875,5669.784546
1.203125,5667.304993
1.21875,5661.284924
1.234375,5656.826496
1.25,5655.884743
1.265625,5650.866032
1.28125,5644.929409
1.296875,5644.083023
1.3125,5641.388893
1.328125,5635.643005
1.34375,5633.628368
1.359375,5630.95808
1.375,5624.747276
1.390625,5622.780323
1.40625,5621.874332
1.421875,5615.198612
1.4375,5610.81171
1.453125,5610.179901
1.46875,5604.38633
1.484375,5598.914623
1.5,5599.236488
1.515625,5595.719814
1.53125,5589.044094
1.546875,5587.553978
1.5625,5585.074425
1.578125,5579.066277
1.59375,5577.731133
1.609375,5577.409267
1.625,5572.283268
1.640625,5569.541454
1.65625,5568.468571
1.671875,5562.734604
1.6875,5559.790134
1.703125,5560.75573
1.71875,5555.927753
1.734375,5550.086498
1.75,5549.836159
1.765625,5547.380447
1.78125,5542.314053
1.796875,5541.086197
1.8125,5538.2967
1.828125,5532.026291
1.84375,5530.107021
1.859375,5528.93877
1.875,5523.478985
1.890625,5521.321297
1.90625,5520.97559
1.921875,5514.681339
1.9375,5509.603024
1.953125,5509.674549
1.96875,5506.670475
1.984375,5503.01075
2,5503.618717
2.015625,5500.674248
2.03125,5494.427681
2.046875,5492.973328
2.0625,5490.982533
2.078125,5484.747887
2.09375,5482.900143
2.109375,5482.888222
2.125,5476.45092
2.140625,5471.754074
2.15625,5472.552776
2.171875,5469.119549
2.1875,5464.6492
2.203125,5465.376377
2.21875,5462.84914
2.234375,5457.06749
2.25,5456.483364
2.265625,5454.993248
2.28125,5449.163914
2.296875,5447.769165
2.3125,5447.244644
2.328125,5440.90271
2.34375,5437.707901
2.359375,5438.542366
2.375,5433.928967
2.390625,5429.542065
2.40625,5430.197716
2.421875,5426.490307
2.4375,5421.161652
2.453125,5422.5564
2.46875,5421.364307
2.484375,5414.557457
2.5,5413.413048
2.515625,5414.175987
2.53125,5409.07383
2.546875,5407.083035
2.5625,5407.655239
2.578125,5401.515961
2.59375,5397.081375
2.609375,5398.738384
2.625,5395.317078
2.640625,5390.21492
2.65625,5390.882492
2.671875,5388.379097
2.6875,5383.014679
2.703125,5384.266376
2.71875,5384.337902
2.734375,5378.592014
2.75,5377.173424
2.765625,5376.899242
2.78125,5371.081829
2.796875,5368.876457
2.8125,5369.865894
2.828125,5365.133286
2.84375,5361.950397
2.859375,5363.535881
2.875,5358.934402
2.890625,5352.663994
2.90625,5353.796482
2.921875,5351.960659
2.9375,5345.082283
2.953125,5343.961716
2.96875,5342.805386
2.984375,5336.296558
3,5335.16407
3.015625,5336.654186
3.03125,5331.623554
3.046875,5328.989029
3.0625,5330.979824
3.078125,5327.987671
3.09375,5325.698853
3.109375,5328.822136
3.125,5327.045918
3.140625,5322.861671
3.15625,5324.578285
3.171875,5323.35043
3.1875,5316.93697
3.203125,5316.507816
3.21875,5317.854881
3.234375,5314.147472
3.25,5313.277245
3.265625,5313.813686
3.28125,5308.413506
3.296875,5304.789543
3.3125,5306.005478
3.328125,5302.488804
3.34375,5297.482014
3.359375,5297.970772
3.375,5296.564102
