Time,BioZ
0,3939.974308
0.015625,3527.033329
0.03125,3195.309639
0.046875,3220.248222
0.0625,3319.549561
0.078125,3319.549561
0.09375,3301.024437
0.109375,3292.870522
0.125,3280.818462
0.140625,3265.893459
0.15625,3248.57235
0.171875,3224.480152
0.1875,3199.064732
0.203125,3181.314468
0.21875,3166.735172
0.234375,3150.92802
0.25,3135.681152
0.265625,3119.766712
0.28125,3100.800514
0.296875,3080.201149
0.3125,3061.234951
0.328125,3044.068813
0.34375,3027.141094
0.359375,3011.69157
0.375,2999.281883
0.390625,2988.231182
0.40625,2975.428104
0.421875,2960.658073
0.4375,2946.209908
0.453125,2932.906151
0.46875,2919.018269
0.484375,2904.474735
0.5,2889.585495
0.515625,2874.63665
0.53125,2862.346172
0.546875,2853.107452
0.5625,2842.843533
0.578125,2829.480171
0.59375,2816.295624
0.609375,2806.055546
0.625,2797.50824
0.640625,2789.747715
0.65625,2783.858776
0.671875,2779.352665
0.6875,2772.474289
0.703125,2761.650085
0.71875,2750.229836
0.734375,2741.742134
0.75,2735.066414
0.765625,2727.69928
0.78125,2719.48576
0.796875,2711.260319
0.8125,2703.046799
0.828125,2695.119381
0.84375,2687.692642
0.859375,2680.444717
0.875,2672.5173
0.890625,2665.579319
0.90625,2661.418915
0.921875,2655.565739
0.9375,2644.41967
0.953125,2634.477615
0.96875,2630.639076
0.984375,2627.623081
1,2623.033524
1.015625,2619.111538
1.03125,2614.605427
1.046875,2608.478069
1.0625,2602.255344
1.078125,2596.116066
1.09375,2590.942383
1.109375,2587.83102
1.125,2584.588528
1.140625,2580.26123
1.15625,2578.699589
1.171875,2579.665184
1.1875,2576.434612
1.203125,2569.890022
1.21875,2565.264702
1.234375,2560.555935
1.25,2555.394173
1.265625,2553.510666
1.28125,2553.153038
1.296875,2549.982071
1.3125,2544.844151
1.328125,2541.148663
1.34375,2538.764477
1.359375,2535.85577
1.375,2531.802654
1.390625,2527.689934
1.40625,2524.781227
1.421875,2522.468567
1.4375,2519.55986
1.453125,2516.496181
1.46875,2514.028549
1.484375,2511.560917
1.5,2507.817745
1.515625,2503.025532
1.53125,2499.330044
1.546875,2497.410774
1.5625,2495.825291
1.578125,2493.488789
1.59375,2490.854263
1.609375,2488.851547
1.625,2487.111092
1.640625,2484.39312
1.65625,2481.341362
1.671875,2479.171753
1.6875,2476.847172
1.703125,2473.771572
1.71875,2471.30394
1.734375,2469.456196
1.75,2466.535568
1.765625,2463.126183
1.78125,2461.93409
1.796875,2462.470531
1.8125,2462.005615
1.828125,2460.944653
1.84375,2459.716797
1.859375,2456.986904
1.875,2453.458309
1.890625,2450.895309
1.90625,2449.178696
1.921875,2446.997166
1.9375,2444.577217
1.953125,2442.81292
1.96875,2440.857887
1.984375,2438.306808
2,2436.339855
2.015625,2435.50539
2.03125,2435.135841
2.046875,2434.337139
2.0625,2432.346344
2.078125,2429.759502
2.09375,2427.780628
2.109375,2426.803112
2.125,2424.955368
2.140625,2421.486378
2.15625,2419.793606
2.171875,2416.968346
2.1875,2406.132221
2.203125,2397.727966
2.21875,2401.828766
2.234375,2406.835556
2.25,2403.593063
2.265625,2398.657799
2.28125,2398.538589
2.296875,2400.660515
2.3125,2401.614189
2.328125,2403.414249
2.34375,2405.893803
2.359375,2405.548096
2.375,2403.581142
2.390625,2402.830124
2.40625,2403.104305
2.421875,2400.98238
2.4375,2393.865585
2.453125,2388.596535
2.46875,2391.123772
2.484375,2394.640446
2.5,2394.282818
