Time,BioZ
0,490.3197289
0.015625,465.9295082
0.03125,467.5626755
0.046875,468.4567451
0.0625,466.0606384
0.078125,462.7227783
0.09375,460.6962204
0.109375,459.4087601
0.125,457.5967789
0.140625,455.1768303
0.15625,451.8985748
0.171875,448.0600357
0.1875,444.662571
0.203125,441.4200783
0.21875,437.4980927
0.234375,433.4807396
0.25,430.6197166
0.265625,428.4739494
0.28125,425.183773
0.296875,420.5703735
0.3125,415.9927368
0.328125,412.7383232
0.34375,410.6521606
0.359375,409.0189934
0.375,407.8030586
0.390625,406.062603
0.40625,403.4161568
0.421875,401.0677338
0.4375,398.850441
0.453125,396.5139389
0.46875,395.0357437
0.484375,394.1893578
0.5,392.6277161
0.515625,390.6369209
0.53125,388.8010979
0.546875,386.4169121
0.5625,383.1982613
0.578125,380.9332848
0.59375,380.8498383
0.609375,381.2432289
0.625,379.71735
0.640625,377.035141
0.65625,374.8655319
0.671875,373.9237785
0.6875,373.4469414
0.703125,372.4813461
0.71875,371.4084625
0.734375,370.7885742
0.75,370.2282906
0.765625,369.7037697
0.78125,369.7633743
0.796875,370.0733185
0.8125,369.0361977
0.828125,366.5328026
0.84375,364.8281097
0.859375,365.0188446
0.875,365.3883934
0.890625,364.8161888
0.90625,364.0413284
0.921875,363.4333611
0.9375,362.2055054
0.953125,361.0134125
0.96875,360.4650497
0.984375,359.6186638
1,358.0093384
1.015625,357.1033478
1.03125,357.1867943
1.046875,356.8291664
1.0625,356.054306
1.078125,355.0887108
1.09375,353.6581993
1.109375,352.8118134
1.125,352.7760506
1.140625,352.6449203
1.15625,352.4661064
1.171875,352.0965576
1.1875,350.9640694
1.203125,350.0342369
1.21875,349.7481346
1.234375,348.9732742
1.25,348.4368324
1.265625,348.7110138
1.28125,348.1626511
1.296875,346.7321396
1.3125,346.7082977
1.328125,348.341465
1.34375,348.9851952
1.359375,347.4831581
1.375,346.1122513
1.390625,346.3745117
1.40625,346.5890884
1.421875,345.6354141
1.4375,344.7651863
1.453125,344.7294235
1.46875,344.7771072
1.484375,344.4552422
1.5,344.4433212
1.515625,344.6102142
1.53125,344.645977
1.546875,344.4671631
1.5625,344.3002701
1.578125,344.2764282
1.59375,344.1095352
1.609375,343.8234329
1.625,343.9188004
1.640625,344.5506096
1.65625,344.9440002
1.671875,344.9559212
1.6875,344.8009491
1.703125,344.4314003
1.71875,344.5506096
1.734375,344.9678421
1.75,344.7294235
1.765625,344.2764282
1.78125,343.8830376
1.796875,343.2154655
1.8125,342.798233
1.828125,342.5240517
1.84375,341.9756889
1.859375,341.7611122
1.875,341.6776657
1.890625,341.4511681
1.90625,341.3200378
1.921875,341.6061401
1.9375,341.8207169
1.953125,341.9041634
1.96875,342.3810005
1.984375,342.4406052
2,341.3915634
2.015625,340.5690193
2.03125,340.9981728
2.046875,342.2498703
2.0625,342.810154
2.078125,341.8445587
2.09375,340.5332565
2.109375,340.2233124
2.125,340.7239914
2.140625,341.2842751
2.15625,341.1412239
2.171875,340.795517
2.1875,340.6882286
2.203125,340.7239914
2.21875,340.628624
2.234375,340.1756287
2.25,339.7107124
2.265625,339.2934799
2.28125,339.4007683
2.296875,340.3425217
2.3125,340.5690193
2.328125,339.8895264
2.34375,339.6868706
2.359375,340.282917
2.375,340.3425217
2.390625,339.1504288
2.40625,338.3755684
2.421875,339.0669823
2.4375,339.9133682
2.453125,339.6511078
2.46875,338.8762474
2.484375,339.1623497
2.5,340.8908844
2.515625,342.0591354
2.53125,341.3081169
2.546875,340.1041031
2.5625,340.0683403
2.578125,340.294838
2.59375,339.6630287
2.609375,338.78088
2.625,338.3159637
2.640625,338.3994102
2.65625,339.2577171
2.671875,340.4855728
2.6875,340.5928612
2.703125,339.5438194
2.71875,339.0431404
2.734375,339.1742706
2.75,339.1981125
2.765625,338.9954567
2.78125,338.8881683
2.796875,338.613987
2.8125,338.3994102
2.828125,339.1981125
2.84375,340.2709961
2.859375,340.4855728
2.875,340.0683403
2.890625,339.9968147
2.90625,340.116024
2.921875,339.4842148
2.9375,338.1729126
2.953125,337.1357918
2.96875,337.8033638
2.984375,339.1027451
3,338.9120102
3.015625,338.0537033
3.03125,338.0537033
3.046875,338.5663033
3.0625,338.6616707
3.078125,338.6855125
3.09375,338.8404846
3.109375,338.8047218
3.125,338.435173
3.140625,337.934494
3.15625,337.5530243
3.171875,337.2311592
3.1875,337.0046616
3.203125,336.8020058
3.21875,336.6827965
3.234375,337.1834755
3.25,338.2205963
3.265625,338.5066986
3.28125,338.0537033
3.296875,337.4814987
3.3125,336.8973732
3.328125,336.5635872
3.34375,336.3013268
3.359375,335.8483315
3.375,335.252285
3.390625,334.3462944
3.40625,334.072113
3.421875,334.9542618
3.4375,335.252285
3.453125,334.405899
3.46875,334.7754478
3.484375,335.5503082
3.5,334.6443176
3.515625,334.3582153
3.53125,335.5979919
3.546875,336.1105919
3.5625,335.4430199
3.578125,334.4893456
3.59375,333.7264061
3.609375,333.6191177
3.625,334.3224525
3.640625,335.2761269
3.65625,335.2284431
3.671875,334.239006
3.6875,333.7144852
3.703125,333.6429596
3.71875,333.5595131
3.734375,333.5118294
3.75,333.5595131
3.765625,333.3449364
3.78125,332.8919411
3.796875,332.7012062
3.8125,333.070755
3.828125,333.4999084
3.84375,333.7740898
3.859375,334.1674805
3.875,333.7740898
3.890625,332.6892853
3.90625,332.6058388
3.921875,332.736969
3.9375,332.057476
3.953125,331.735611
3.96875,332.057476
3.984375,331.9978714
4,331.4137459
4.015625,331.1395645
4.03125,331.0799599
4.046875,330.5792809
4.0625,330.0428391
4.078125,330.1739693
4.09375,330.3766251
4.109375,330.3170204
4.125,330.4004669
4.140625,330.5673599
4.15625,330.4719925
4.171875,329.9713135
4.1875,329.4229507
4.203125,328.8388252
4.21875,328.6480904
4.234375,328.8507462
4.25,329.1726112
4.265625,329.4229507
4.28125,329.3991089
4.296875,329.3037415
4.3125,329.387188
4.328125,329.5660019
4.34375,329.1726112
4.359375,328.6361694
4.375,329.1130066
4.390625,329.4944763
4.40625,328.2308578
4.421875,326.5500069
4.4375,326.9314766
4.453125,328.8626671
4.46875,329.3275833
4.484375,328.1831741
4.5,327.694416
4.515625,328.0878067
4.53125,328.2785416
4.546875,328.0282021
4.5625,327.5513649
4.578125,327.3487091
4.59375,327.7897835
4.609375,327.3963928
4.625,326.0374069
4.640625,325.9420395
4.65625,326.9672394
4.671875,327.3844719
4.6875,327.6348114
4.703125,327.9328346
4.71875,327.4202347
4.734375,326.4546394
4.75,327.1102905
4.765625,328.4573555
4.78125,328.2904625
4.796875,327.7659416
4.8125,328.0520439
4.828125,327.9924393
4.84375,328.6242485
4.859375,340.8551216
4.875,331.8548203
4.890625,255.1674843
4.90625,359.3683243
4.921875,772.2735405
4.9375,917.828083
4.953125,626.1587143
4.96875,470.5429077
4.984375,535.094738
5,561.6426468
5.015625,551.366806
5.03125,550.8780479
5.046875,551.9509315
5.0625,551.533699
5.078125,551.4383316
5.09375,551.3548851
5.109375,550.031662
5.125,548.4104156
5.140625,547.4448204
5.15625,546.3600159
5.171875,544.7745323
5.1875,543.3917046
5.203125,542.3665047
5.21875,541.0552025
5.234375,539.1478539
5.25,537.3954773
5.265625,536.4537239
5.28125,535.4762077
5.296875,534.3437195
5.3125,533.759594
5.328125,533.246994
5.34375,531.5423012
5.359375,529.1581154
5.375,528.550148
5.390625,529.4203758
5.40625,528.9316177
5.421875,526.3209343
5.4375,523.7460136
5.453125,522.7684975
5.46875,522.5300789
5.484375,521.9578743
5.5,521.3618279
5.515625,520.670414
5.53125,519.6332932
5.546875,518.7630653
5.5625,518.5246468
5.578125,518.31007
5.59375,517.2252655
5.609375,516.1643028
5.625,516.1643028
5.640625,515.9974098
5.65625,514.9364471
5.671875,513.8993263
5.6875,513.6728287
5.703125,514.1735077
5.71875,514.4834518
5.734375,513.8993263
5.75,512.8145218
5.765625,511.6939545
5.78125,510.3826523
5.796875,509.428978
5.8125,509.1905594
5.828125,509.0475082
5.84375,508.6541176
5.859375,508.2011223
5.875,507.9627037
5.890625,507.2951317
5.90625,506.2103271
5.921875,505.8407784
5.9375,506.4606667
5.953125,506.7110062
5.96875,506.2222481
5.984375,505.0301552
6,503.4565926
6.015625,502.8128624
6.03125,503.0155182
6.046875,503.0274391
6.0625,502.7890205
6.078125,502.6936531
6.09375,501.9783974
6.109375,500.2260208
6.125,499.5584488
6.140625,500.6551743
6.15625,501.8115044
6.171875,501.3346672
6.1875,499.9995232
6.203125,500.5955696
6.21875,502.2406578
6.234375,501.5611649
6.25,498.6643791
6.265625,496.4947701
6.28125,496.4947701
6.296875,497.2457886
6.3125,495.9344864
6.328125,493.5860634
6.34375,493.6695099
6.359375,495.0761795
6.375,495.2192307
6.390625,495.5291748
6.40625,497.0669746
6.421875,497.4722862
6.4375,496.2801933
6.453125,495.2669144
6.46875,494.7543144
6.484375,494.7185516
6.5,495.1119423
6.515625,494.5993423
6.53125,493.311882
6.546875,493.311882
6.5625,493.8721657
6.578125,493.5503006
6.59375,492.9542542
6.609375,492.8827286
6.625,493.1569099
6.640625,492.9661751
6.65625,491.8932915
6.671875,490.2362823
6.6875,489.4971848
6.703125,490.3554916
6.71875,491.3330078
6.734375,491.1184311
6.75,490.3554916
6.765625,490.0932312
6.78125,490.2482033
6.796875,489.962101
6.8125,489.2587662
6.828125,489.0084267
6.84375,489.4733429
6.859375,489.9024963
6.875,489.8667336
6.890625,490.1051521
6.90625,490.5939102
6.921875,489.9740219
6.9375,488.9249802
6.953125,488.8057709
6.96875,489.0918732
6.984375,488.7461662
7,487.9355431
7.015625,487.8759384
7.03125,488.0189896
7.046875,487.4944687
7.0625,487.1368408
7.078125,487.0057106
7.09375,486.6480827
7.109375,486.0520363
7.125,485.2771759
7.140625,484.6096039
7.15625,484.8837852
7.171875,485.8016968
7.1875,486.2904549
7.203125,485.8970642
7.21875,484.1089249
7.234375,482.404232
7.25,482.2850227
7.265625,482.6068878
7.28125,482.4876785
7.296875,482.416153
7.3125,482.9883575
7.328125,483.6678505
7.34375,482.9406738
7.359375,481.6055298
7.375,481.5459251
7.390625,482.070446
7.40625,482.0823669
7.421875,480.3180695
7.4375,478.0173302
7.453125,478.0173302
7.46875,478.2795906
7.484375,477.3974419
7.5,478.3987999
7.515625,481.4386368
7.53125,483.0360413
7.546875,482.5234413
7.5625,481.569767
7.578125,480.6995392
7.59375,479.7339439
7.609375,478.2676697
7.625,477.1113396
7.640625,476.6821861
7.65625,476.9563675
7.671875,477.5285721
7.6875,477.8385162
7.703125,477.707386
7.71875,477.206707
7.734375,476.7537117
7.75,476.6583443
7.765625,476.6464233
7.78125,476.360321
7.796875,476.1815071
7.8125,476.6345024
7.828125,476.7894745
7.84375,476.0622978
7.859375,475.859642
7.875,476.205349
7.890625,475.8954048
7.90625,475.4781723
7.921875,475.6093025
7.9375,475.5139351
7.953125,475.0132561
7.96875,474.5602608
7.984375,474.0357399
8,473.3920097
8.015625,472.9628563
8.03125,472.6171494
8.046875,472.2595215
8.0625,472.1164703
8.078125,471.7946053
8.09375,471.1866379
8.109375,470.6978798
8.125,470.7932472
8.140625,471.2224007
8.15625,471.3535309
8.171875,471.0078239
8.1875,470.4236984
8.203125,469.7799683
8.21875,469.2554474
8.234375,469.2912102
8.25,469.3865776
8.265625,469.5892334
8.28125,471.1151123
8.296875,472.7840424
8.3125,471.6038704
8.328125,469.1720009
8.34375,468.5878754
8.359375,468.5401917
8.375,468.1348801
8.390625,468.1110382
8.40625,468.0871964
8.421875,467.6938057
8.4375,467.2050476
8.453125,467.0262337
8.46875,467.0262337
8.484375,466.97855
8.5,466.6805267
8.515625,466.3467407
8.53125,466.0964012
8.546875,465.8579826
8.5625,466.0606384
8.578125,466.4063454
8.59375,466.2632942
8.609375,466.0725594
8.625,466.5851593
8.640625,466.6447639
8.65625,465.9771919
8.671875,465.5003548
8.6875,465.3215408
8.703125,465.1546478
8.71875,463.6287689
8.734375,460.588932
8.75,460.3624344
8.765625,463.8433456
8.78125,465.5361176
8.796875,463.9863968
8.8125,462.3413086
8.828125,462.3651505
8.84375,463.7479782
8.859375,463.5453224
8.875,461.769104
8.890625,461.5783691
8.90625,462.0075226
8.921875,461.1968994
8.9375,460.8511925
8.953125,461.8406296
8.96875,462.1148109
8.984375,461.2088203
9,460.4935646
9.015625,460.3624344
9.03125,460.422039
9.046875,460.4101181
9.0625,460.422039
9.078125,460.600853
9.09375,460.9704018
9.109375,460.8273506
9.125,460.0644112
9.140625,459.2895508
9.15625,458.741188
9.171875,458.4550858
9.1875,458.7292671
9.203125,459.4564438
9.21875,459.3849182
9.234375,458.3358765
9.25,457.4537277
9.265625,457.1795464
9.28125,456.8696022
9.296875,456.4285278
9.3125,457.0484161
9.328125,458.0020905
9.34375,457.5133324
9.359375,456.8696022
9.375,457.4179649
9.390625,457.3225975
9.40625,455.8682442
9.421875,454.8788071
9.4375,454.8072815
9.453125,454.8430443
9.46875,454.8192024
