Time,BioZ
0,5207.228661
0.015625,3501.188755
0.03125,2835.023403
0.046875,3020.226955
0.0625,3114.676476
0.078125,3067.338467
0.09375,3049.850464
0.109375,3049.898148
0.125,3050.994873
0.140625,3052.127361
0.15625,3053.331375
0.171875,3054.583073
0.1875,3055.906296
0.203125,3057.336807
0.21875,3058.791161
0.234375,3060.150146
0.25,3061.521053
0.265625,3062.903881
0.28125,3064.000607
0.296875,3065.20462
0.3125,3066.635132
0.328125,3067.934513
0.34375,3069.067001
0.359375,3070.282936
0.375,3071.498871
0.390625,3072.607517
0.40625,3073.728085
0.421875,3075.122833
0.4375,3076.577187
0.453125,3077.459335
0.46875,3078.329563
0.484375,3079.640865
0.5,3080.928326
0.515625,3082.025051
0.53125,3083.109856
0.546875,3084.123135
0.5625,3084.993362
0.578125,3085.86359
0.59375,3086.876869
0.609375,3087.997437
0.625,3089.141846
0.640625,3090.09552
0.65625,3090.977669
0.671875,3092.086315
0.6875,3093.183041
0.703125,3093.934059
0.71875,3094.637394
0.734375,3095.531464
0.75,3096.449375
0.765625,3097.450733
0.78125,3098.416328
0.796875,3099.286556
0.8125,3100.216389
0.828125,3101.146221
0.84375,3101.861477
0.859375,3102.564812
0.875,3103.256226
0.890625,3103.721142
0.90625,3104.150295
0.921875,3104.650974
0.9375,3105.378151
0.953125,3106.153011
0.96875,3106.7729
0.984375,3107.476234
1,3108.274937
1.015625,3109.121323
1.03125,3109.955788
1.046875,3110.575676
1.0625,3111.195564
1.078125,3112.125397
1.09375,3113.150597
1.109375,3113.925457
1.125,3114.593029
1.140625,3115.522861
1.15625,3116.440773
1.171875,3116.810322
1.1875,3117.144108
1.203125,3118.026257
1.21875,3119.027615
1.234375,3119.814396
1.25,3120.481968
1.265625,3120.88728
1.28125,3121.304512
1.296875,3122.007847
1.3125,3122.81847
1.328125,3123.71254
1.34375,3124.475479
1.359375,3124.845028
1.375,3125.059605
1.390625,3125.584126
1.40625,3126.442432
1.421875,3127.18153
1.4375,3127.598763
1.453125,3128.0756
1.46875,3128.814697
1.484375,3129.49419
1.5,3130.304813
1.515625,3131.03199
1.53125,3131.425381
1.546875,3131.79493
1.5625,3132.510185
1.578125,3133.153915
1.59375,3133.583069
1.609375,3134.083748
1.625,3134.727478
1.640625,3135.287762
1.65625,3135.573864
1.671875,3136.062622
1.6875,3136.610985
1.703125,3136.885166
1.71875,3137.028217
1.734375,3137.31432
1.75,3137.70771
1.765625,3138.101101
1.78125,3138.554096
1.796875,3138.923645
1.8125,3139.019012
1.828125,3139.293194
1.84375,3139.853477
1.859375,3140.258789
1.875,3140.437603
1.890625,3140.890598
1.90625,3141.713142
1.921875,3142.58337
1.9375,3143.262863
1.953125,3143.680096
1.96875,3143.942356
1.984375,3144.240379
2,3144.645691
2.015625,3145.265579
2.03125,3145.909309
2.046875,3146.481514
2.0625,3146.970272
2.078125,3147.19677
2.09375,3147.399426
2.109375,3147.8405
2.125,3148.162365
2.140625,3148.257732
2.15625,3148.770332
2.171875,3149.64056
2.1875,3150.236607
2.203125,3150.427341
2.21875,3150.53463
2.234375,3150.904179
2.25,3151.55983
2.265625,3152.07243
2.28125,3152.275085
2.296875,3152.382374
2.3125,3152.799606
2.328125,3153.479099
2.34375,3154.182434
2.359375,3154.814243
2.375,3155.231476
2.390625,3155.362606
2.40625,3155.41029
2.421875,3155.744076
2.4375,3156.31628
2.453125,3156.69775
2.46875,3156.888485
2.484375,3157.103062
2.5,3157.47261
2.515625,3157.85408
2.53125,3158.187866
2.546875,3158.23555
2.5625,3158.295155
2.578125,3158.783913
2.59375,3159.236908
2.609375,3159.344196
2.625,3159.344196
2.640625,3159.308434
2.65625,3159.368038
2.671875,3159.797192
2.6875,3160.142899
2.703125,3160.262108
2.71875,3160.369396
2.734375,3160.750866
2.75,3161.287308
2.765625,3161.752224
2.78125,3161.907196
2.796875,3161.883354
2.8125,3162.038326
2.828125,3162.693977
2.84375,3163.37347
2.859375,3163.838387
2.875,3164.100647
2.890625,3164.184093
2.90625,3164.148331
2.921875,3164.386749
2.9375,3164.78014
2.953125,3165.113926
2.96875,3165.245056
2.984375,3165.328503
3,3165.388107
3.015625,3165.733814
3.03125,3166.210651
3.046875,3166.675568
3.0625,3166.949749
3.078125,3167.057037
3.09375,3167.152405
3.109375,3167.402744
3.125,3167.903423
3.140625,3168.344498
